Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
05/2020,"The Epic Revenue Cycle system will be  enterprise-wide and help increase revenue (by proper billing of services provided) in addition to ensuring patient safety and improved patient care, a top priority in workflows.",IT,,05/30/2021
10/2020,"The Epic Revenue Cycle system will be  enterprise-wide and help increase revenue (by proper billing of services provided) in addition to ensuring patient safety and improved patient care, a top priority in workflows.",IT,,05/30/2021
03/2021,"The Epic Revenue Cycle system will be  enterprise-wide and help increase revenue (by proper billing of services provided) in addition to ensuring patient safety and improved patient care, a top priority in workflows.",IT,,12/31/2022
03/2018,Remediation work at the Bronx County Hall of Justice,Construction,03/06/2014,10/04/2019
08/2018,Remediation work at the Bronx County Hall of Justice,Construction,03/06/2014,10/04/2019
01/2019,Remediation work at the Bronx County Hall of Justice (Bid Pack 1) -   Correction of design error installations. Replacement of defective or missing equipment.,Construction,03/06/2014,04/14/2020
05/2019,"Remediation work at the Bronx County Hall of Justice. Scope of work includes installing a new door into the mechanical room at the Jury Assembly room, replacement of intumescent paint at the structural steel members supporting stairs A & B, replacement of the Jury Assembly building roof over the interior ramped corridor & waterproofing of the exterior public space plaza that is over the underground garage. The audio visual component addresses various problems with equipment in the courtrooms. Sections of HVAC duct in the underground garage are being replaced due to damage from the plaza leaks above. Replacement of approximately 15 lineal feet of underground storm drain line / pipe including a new manhole and link seal at the cellar wall. Replacement of approximately 100 lineal feet of undersized sewer line at the cellar level. Increasing the size of undersized plumbing vent lines at various locations. Installation of chilled and hot water balancing valves for heating and cooling equipment.",Construction,03/06/2014,10/04/2019
09/2019,"Remediation work at the Bronx County Hall of Justice. Scope of work includes installing a new door into the mechanical room at the Jury Assembly room, replacement of intumescent paint at the structural steel members supporting stairs A & B, replacement of the Jury Assembly building roof over the interior ramped corridor & waterproofing of the exterior public space plaza that is over the underground garage. The audio visual component addresses various problems with equipment in the courtrooms. Sections of HVAC duct in the underground garage are being replaced due to damage from the plaza leaks above. Replacement of approximately 15 lineal feet of underground storm drain line / pipe including a new manhole and link seal at the cellar wall. Replacement of approximately 100 lineal feet of undersized sewer line at the cellar level. Increasing the size of undersized plumbing vent lines at various locations. Installation of chilled and hot water balancing valves for heating and cooling equipment.",Construction,03/06/2014,10/04/2019
03/2018,Façade restoration and window replacment for Bellevue Men's Shelter,Construction Procurement,07/05/2016,04/27/2025
08/2018,Façade restoration and window replacment for Bellevue Men's Shelter,Construction Procurement,07/05/2016,02/05/2026
01/2019,Façade restoration and window replacment for Bellevue Men's Shelter,Construction Procurement,07/05/2016,01/24/2026
05/2019,Bellevue Facade Rehab & Window Replacement,Construction Procurement,07/05/2016,11/03/2026
09/2019,Bellevue Facade Rehab & Window Replacement,Construction Procurement,07/05/2016,11/03/2026
01/2019,"Construction of a new 18,000 sq.ft. Branch Library employing the latest technology and sustainable design.",Construction,01/10/2012,08/16/2023
05/2019,"Construction of a new 18,000 sq.ft. Branch employing the latest technology and sustainable design.",Close-Out,01/10/2012,07/30/2021
09/2019,"Construction of a new 18,000 sq.ft. Branch employing the latest technology and sustainable design.",Construction,01/10/2012,09/15/2020
03/2018,Reconstruction of Arthur Kill Road From Clark Avenue to Richmond Avenue including widening of roadway,Design,12/16/2016,06/30/2022
08/2018,Reconstruction of Arthur Kill Road From Clark Avenue to Richmond Avenue including widening of roadway,Design,12/16/2016,03/13/2023
01/2019,Reconstruction of Arthur Kill Road From Clark Avenue to Richmond Avenue including widening of roadway,Design,12/16/2016,03/02/2025
05/2019,Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,Design,12/16/2016,10/31/2023
09/2019,Reconstruction of Arthur Kill Rd from Clark Avenue to Richmond Avenue including widening of roadway,Design,12/16/2016,10/31/2023
03/2018,Beach Channel Drive from Beach 116th Street to Beach 124th Street FEMA Reconstruction (DEP Portion QED1030),Construction,09/14/2014,06/08/2020
08/2018,Beach Channel Drive from Beach 116th Street to Beach 124th Street FEMA Reconstruction (DEP Portion QED1030),Construction,09/14/2014,06/08/2020
01/2019,Beach Channel Drive from Beach 116th Street to Beach 124th Street FEMA Reconstruction (DEP Portion QED1030),Construction,09/14/2014,06/08/2020
05/2019,"RECONSTRUCTION OF BEACH CHANNEL DRIVE, QUEENS",Construction,09/14/2014,06/08/2020
09/2019,"RECONSTRUCTION OF BEACH CHANNEL DRIVE, QUEENS",Construction,09/14/2014,06/08/2020
03/2018,Croton Above Ground Structure And Water Management Systems,Construction Procurement,05/23/2012,07/01/2021
01/2019,Croton Above Ground Structure And Water Management Systems,Construction,05/23/2012,03/18/2021
05/2019,"The new Mosholu Golf Course Club House, together with fifty-five Driving Range Tee Boxes and ten-acres of re-landscaping comprise the phase IV and final of the vast DEP Croton Water Treatment Plant project, currently under construction in Van Cortlandt Park in the Bronx. Through a multifunctional design strategy the project reinstates the pre-existing golf program and facility, creates civic space for community use and ensures security for a multi-billion dollar public works facility.",Construction,05/23/2012,03/18/2021
09/2019,"The new Mosholu Golf Course Club House, together with fifty-five Driving Range Tee Boxes and ten-acres of re-landscaping comprise the phase IV and final of the vast DEP Croton Water Treatment Plant project, currently under construction in Van Cortlandt Park in the Bronx. Through a multifunctional design strategy the project reinstates the pre-existing golf program and facility, creates civic space for community use and ensures security for a multi-billion dollar public works facility.",Construction,05/23/2012,03/18/2021
03/2018,Design Rehab And Upgrade Dep Shaft Maint Building,Construction,05/05/2008,09/30/2018
08/2018,Design Rehab And Upgrade Dep Shaft Maint Building,Construction,05/05/2008,03/29/2019
01/2019,Design Rehab And Upgrade Dep Shaft Maint Building,Construction,05/05/2008,06/28/2019
05/2019,"Perform a full functional upgrade of the interior and exterior of this century old structure, providing all new building systems.  The design will include ADA compliance, and historic preservation standards.",Construction,05/05/2008,12/31/2019
09/2019,"Perform a full functional upgrade of the interior and exterior of this century old structure, providing all new building systems.  The design will include ADA compliance, and historic preservation standards.",Construction,05/05/2008,12/31/2019
03/2018,PORPOISE BRIDGE IN FLUSHING MEADOWS-CORONA PARK,Design,09/18/2017,07/29/2023
08/2018,PORPOISE BRIDGE IN FLUSHING MEADOWS-CORONA PARK,Design,09/18/2017,07/29/2023
01/2019,PORPOISE BRIDGE IN FLUSHING MEADOWS-CORONA PARK,Design,09/18/2017,07/29/2023
05/2019,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,Design,09/18/2017,07/24/2023
09/2019,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,Design,09/18/2017,07/23/2024
03/2018,Brooklyn Animal Care Center,Design,07/20/2016,04/15/2022
08/2018,Brooklyn Animal Care Center,Design,07/20/2016,04/15/2022
01/2019,Brooklyn Animal Care Center,Design,07/20/2016,12/31/2022
05/2019,Demolish existing on-story facility. Construct a two-story new building for animal care center with a drive-through parking lot to meet the new program.  Phasing is required to meet 24/7 operation.,Design,07/20/2016,08/10/2023
09/2019,Demolish existing on-story facility. Construct a two-story new building for animal care center with a drive-through parking lot to meet the new program.  Phasing is required to meet 24/7 operation.,Design,07/20/2016,10/10/2023
03/2018,Scope of this project includes the reconstruction of Tillary St. from Cadman Plaza West to Prince St and Cadman Plaza East from Redcross place to Tillary St. including watermain and sewer work.,Construction Procurement,01/30/2015,08/21/2021
08/2018,Scope of this project includes the reconstruction of Tillary St. from Cadman Plaza West to Prince St and Cadman Plaza East from Redcross place to Tillary St. including watermain and sewer work.,Construction,01/30/2015,10/03/2020
01/2019,Scope of this project includes the reconstruction of Tillary St. from Cadman Plaza West to Prince St and Cadman Plaza East from Redcross place to Tillary St. including watermain and sewer work.,Construction,01/30/2015,10/03/2020
05/2019,"TILLARY STREET - PHASE II, BROOKLYN",Construction,01/30/2015,10/03/2020
09/2019,"TILLARY STREET - PHASE II, BROOKLYN",Construction,01/30/2015,10/03/2020
01/2019,Reconstruction of Trinity Place from Morris Street to Cedar Street,Design,10/01/2018,01/17/2024
05/2019,"Reconstruction of Trinity Place from Morris Street to Cedar Street, Borough of Manhattan",Design,10/01/2018,01/17/2024
09/2019,"Reconstruction of Trinity Place from Morris Street to Cedar Street, Borough of Manhattan",Design,10/01/2018,01/17/2024
01/2019,"The project includes but it is not limited to: bedrooms wall reinforcement; bathroom reconfiguration; functional changes of existing dorm space to Psychiatric Medical suite; upgrade of all systems: lighting, roofing, plumbing, mech.",Construction,11/15/2015,10/01/2018
05/2019,"The project includes but it is not limited to: bedrooms wall reinforcement; bathroom reconfiguration; functional changes of existing dorm space to Psychiatric Medical suite; upgrade of all systems: lighting, roofing, plumbing, mech., electrical, security, fire alarm and fire suppression systems; upgrade and update of : existing classrooms, commercial kitchen & kitchen equipment; renovation of entire exterior recreational area to reflect shade areas and upgrade of the landscaping.The building systems need urgent upgrade. They are subject to heavy use and they are not efficient nor adequate to accommodate current facility demands. The function of the some areas needs to be renovated /retrofitted to accommodate the Juvenile Program new needs such as the medical suite, including Psychiatric services, among others. The kitchen equipment and layout needs upgrade to follow the current food prep, storage and cooking process.",Construction,01/09/2016,10/01/2019
09/2019,"The project includes but it is not limited to: bedrooms wall reinforcement; bathroom reconfiguration; functional changes of existing dorm space to Psychiatric Medical suite; upgrade of all systems: lighting, roofing, plumbing, mech., electrical, security, fire alarm and fire suppression systems; upgrade and update of : existing classrooms, commercial kitchen & kitchen equipment; renovation of entire exterior recreational area to reflect shade areas and upgrade of the landscaping.The building systems need urgent upgrade. They are subject to heavy use and they are not efficient nor adequate to accommodate current facility demands. The function of the some areas needs to be renovated /retrofitted to accommodate the Juvenile Program new needs such as the medical suite, including Psychiatric services, among others. The kitchen equipment and layout needs upgrade to follow the current food prep, storage and cooking process.",Construction,01/09/2016,10/01/2019
03/2018,"Storm and Sanitary sewer construction, water main replacement and Last Chance Pond BMP NC-11, NC-12 in Husson Street and vicinity, Staten Island",Construction Procurement,06/15/2015,05/26/2021
08/2018,"Storm and Sanitary sewer construction, water main replacement and Last Chance Pond BMP NC-11, NC-12 in Husson Street and vicinity, Staten Island",Construction,06/15/2015,06/04/2021
01/2019,"Storm and Sanitary sewer construction, water main replacement and Last Chance Pond BMP NC-11, NC-12 in Husson Street and vicinity, Staten Island",Construction,06/15/2015,06/04/2021
05/2019,"Storm and Sanitary sewer construction, water main replacement and Last Chance Pond BMP NC-11, NC-12 in Husson Street and vicinity, Staten Island",Construction,06/15/2015,06/04/2021
09/2019,"Storm and Sanitary sewer construction, water main replacement and Last Chance Pond BMP NC-11, NC-12 in Husson Street and vicinity, Staten Island",Construction,06/15/2015,06/04/2021
03/2018,"Construction of storm sewers, sanitary sewers, water mains and Best Management Practice (BMP) NC-16 in Mason Avenue area",Design,08/29/2016,04/14/2022
08/2018,"Construction of storm sewers, sanitary sewers, water mains and Best Management Practice (BMP) NC-16 in Mason Avenue area",Construction Procurement,08/29/2016,04/15/2022
01/2019,"Construction of storm sewers, sanitary sewers, water mains and Best Management Practice (BMP) NC-16 in Mason Avenue area",Construction Procurement,08/29/2016,09/16/2022
05/2019,"Construction of storm sewers, sanitary sewers, water mains and Best Management Practice (BMP) NC-16 in Mason Avenue area, Borough of Staten Island.",Construction Procurement,08/29/2016,09/15/2022
09/2019,"Construction of storm sewers, sanitary sewers, water mains and Best Management Practice (BMP) NC-16 in Mason Avenue area, Borough of Staten Island.",Construction Procurement,08/29/2016,11/10/2022
03/2018,"Reconstruct Hylan Boulevard between Seaver & Stobe Avenues, And Construction of Storm Sewers and Outfall as well as BMP NC-13 and NC-14",Design,04/03/2017,06/22/2022
08/2018,"Reconstruct Hylan Boulevard between Seaver & Stobe Avenues, And Construction of Storm Sewers and Outfall as well as BMP NC-13 and NC-14",Design,04/03/2017,06/22/2022
01/2019,"Reconstruct Hylan Boulevard between Seaver & Stobe Avenues, And Construction of Storm Sewers and Outfall as well as BMP NC-13 and NC-14",Construction Procurement,04/03/2017,12/16/2021
05/2019,"CONSTRUCTION OF BMP�s NC13 AND 14 ASSOCIATED WITH SANITARY SEWER AND WATER MAIN WORK, SI",Construction Procurement,04/03/2017,01/14/2022
09/2019,"CONSTRUCTION OF BMP’s NC13 AND 14 ASSOCIATED WITH SANITARY SEWER AND WATER MAIN WORK, SI",Construction Procurement,04/03/2017,01/14/2022
03/2018,"New 116Th Precinct at 244-04 North Conduit Avenue, Queens, NY 11442.  Design and build of a 45,500 SF building on existing City owned property.",Design,09/14/2017,04/05/2022
08/2018,"New 116Th Precinct at 244-04 North Conduit Avenue, Queens, NY 11442.  Design and build of a 45,700 SF building on existing City owned property.",Design,09/14/2017,04/05/2022
01/2019,"New 116Th Precinct at 244-04 North Conduit Avenue, Queens, NY 11442.  Design and build of a 45,700 SF building on existing City owned property.",Design,09/14/2017,06/02/2022
05/2019,Construction of a new precinct station house facility and associated site work for the new 116th Precinct.,Construction Procurement,09/14/2017,04/05/2022
09/2019,Construction of a new precinct station house facility and associated site work for the new 116th Precinct.,Construction Procurement,09/14/2017,06/08/2022
03/2018,Replacement of Trunk and Distribution main in Cypress Ave between Willoughby Ave and Himrod Street,Construction Procurement,01/05/2017,04/22/2022
08/2018,Replacement of Trunk and Distribution main in Cypress Ave between Willoughby Ave and Himrod Street,Construction Procurement,01/05/2017,08/02/2022
01/2019,Replacement of Trunk and Distribution main in Cypress Ave between Willoughby Ave and Himrod Street,Construction Procurement,01/05/2017,12/09/2025
05/2019,"The objective for this proposal is to replace 48"""" and 60"""" Trunk Water Main and replace 8"""", 12"""" and 20""""distribution (BWSO) recommends the replacement of these mains to improve Water Quality and residual pressure.",Construction,01/05/2017,06/13/2022
09/2019,"The objective for this proposal is to replace 48"" and 60"" Trunk Water Main and replace 8"", 12"" and 20""distribution (BWSO) recommends the replacement of these mains to improve Water Quality and residual pressure.",Construction,01/05/2017,06/13/2022
03/2018,Water Main replacement in 222th Street,Design,04/02/2018,01/18/2022
08/2018,Water Main replacement in 222th Street,Design,04/02/2018,01/18/2022
01/2019,Water Main replacement in 222th Street,Design,04/02/2018,01/18/2022
05/2019,WATER MAIN REPLACEMENT IN 222 STREET,Design,04/02/2018,01/18/2023
09/2019,WATER MAIN REPLACEMENT IN 222 STREET,Design,04/02/2018,01/19/2024
03/2018,The Department of Sanitation of the City of New York (DSNY) is planning to develop a Staten Island Districts 1 and 3 campus that will include a new garage serving both districts and renovation of the existing Borough Repair Shop.,Design,07/14/2017,02/13/2023
08/2018,The Department of Sanitation of the City of New York (DSNY) is planning to develop a Staten Island Districts 1 and 3 campus that will include a new garage serving both districts and renovation of the existing Borough Repair Shop.,Design,07/14/2017,02/13/2023
01/2019,The Department of Sanitation of the City of New York (DSNY) is planning to develop a Staten Island Districts 1 and 3 campus that will include a new garage serving both districts and renovation of the existing Borough Repair Shop.,Design,07/14/2017,06/16/2023
05/2019,"The Department of Sanitation of the City of New York (DSNY) is planning to develop a Staten Island Districts 1 and 3 campus that will include a new garage serving both districts and renovation of the existing Borough Repair Shop.  The site is to be reconfigured with new grading and drainage, new covered salt storage, new outdoor fueling, new household special waste collection, outdoor DSNY truck parking and a new force main sanitary line to connect to the NYC DEP sewer.",Construction Procurement,07/14/2017,12/17/2023
09/2019,"The Department of Sanitation of the City of New York (DSNY) is planning to develop a Staten Island Districts 1 and 3 campus that will include a new garage serving both districts and renovation of the existing Borough Repair Shop.  The site is to be reconfigured with new grading and drainage, new covered salt storage, new outdoor fueling, new household special waste collection, outdoor DSNY truck parking and a new force main sanitary line to connect to the NYC DEP sewer.",Construction Procurement,07/14/2017,02/26/2024
03/2018,Rehab Of Queens District 11/13 Sanitation Garage,Design,03/06/2017,10/31/2022
08/2018,Rehab Of Queens District 11/13 Sanitation Garage,Design,03/06/2017,10/31/2022
01/2019,Rehab Of Queens District 11/13 Sanitation Garage,Design,03/06/2017,10/06/2023
05/2019,"The project is to extend the useful life of the facility through rehabilitation of the building structure and systems. This shall include: structural work, replacement of building MEP systems, architectural upgrade and replacement in kind of sidewalks and driveways",Design,03/06/2017,07/01/2023
09/2019,"The project is to extend the useful life of the facility through rehabilitation of the building structure and systems. This shall include: structural work, replacement of building MEP systems, architectural upgrade and replacement in kind of sidewalks and driveways",Design,03/06/2017,07/01/2023
03/2018,Reconstruction of Downtown Far Rockaway Urban Design and Street scape reconstruction (Formerly HWQ1079) and SE830 (Design Consultant),Design,03/18/2016,08/15/2022
08/2018,Reconstruction of Downtown Far Rockaway Urban Design and Street scape reconstruction (Formerly HWQ1079) and SE830 (Design Consultant),Construction Procurement,03/18/2016,08/16/2022
01/2019,Reconstruction of Downtown Far Rockaway Urban Design and Street scape reconstruction (Formerly HWQ1079) and SE830 (Design Consultant),Design,03/18/2016,08/14/2023
05/2019,Downtown Far Rockaway Urban Design Streetscape Reconstruction Project,Construction Procurement,03/18/2016,07/30/2022
09/2019,Downtown Far Rockaway Urban Design Streetscape Reconstruction Project,Construction,03/18/2016,08/17/2022
03/2018,East Side Coastal Resiliency - East 23rd St. to Montgomery St.,Design,04/01/2017,05/01/2024
08/2018,East Side Coastal Resiliency - East 23rd St. to Montgomery St.,Design,04/01/2017,04/30/2025
01/2019,East Side Coastal Resiliency - East 23rd St. to Montgomery St.,Design,04/01/2017,03/31/2023
05/2019,"East Side Coastal Resiliency - East 23rd St. to Montgomery St., Manhattan",Design,04/27/2016,03/31/2023
09/2019,"East Side Coastal Resiliency - Area 1 - East 23rd St. to Montgomery St., Manhattan",Design,04/27/2016,03/31/2023
03/2018,High Level Storm and Combined Sewer in 229th Street and 230th Place Between 145th Avenue and 147th Ave. (Spine Springfield/Laurelton Blvd),Construction Procurement,04/30/2015,09/16/2021
08/2018,High Level Storm and Combined Sewer in 229th Street and 230th Place Between 145th Avenue and 147th Ave. (Spine Springfield/Laurelton Blvd),Construction,04/30/2015,07/28/2021
01/2019,High Level Storm and Combined Sewer in 229th Street and 230th Place Between 145th Avenue and 147th Ave. (Spine Springfield/Laurelton Blvd),Construction,04/30/2015,06/04/2021
05/2019,"Installation of storm, sanitary and combined sewers, and water main: Brookville section of Queens, including sections of 227th, 228th, 229th and 230th Streets, 230th Place, and 145th and 147th Avenues.",Construction,04/30/2015,07/28/2021
09/2019,"Installation of storm, sanitary and combined sewers, and water main: Brookville section of Queens, including sections of 227th, 228th, 229th and 230th Streets, 230th Place, and 145th and 147th Avenues.",Construction,04/30/2015,07/28/2021
03/2018,"Storm, Sanitary and Combined sewers in 230th Place between 145th Ave and 139th Ave; Laurelton Area. (Spine Springfield/Laurelton Blvd)",Design,04/22/2016,10/29/2023
08/2018,"Storm, Sanitary and Combined sewers in 230th Place between 145th Ave and 139th Ave; Laurelton Area. (Spine Springfield/Laurelton Blvd)",Design,04/22/2016,10/29/2023
01/2019,"Storm, Sanitary and Combined sewers in 230th Place between 145th Ave and 139th Ave; Laurelton Area. (Spine Springfield/Laurelton Blvd)",Design,04/22/2016,11/14/2025
05/2019,"South-East Queens. Laurelton Area. Part I. Phase """"B"""".    Storm, Sanitary, and Combined Sewers in 230th Place between 145th Avenue and 139th Avenue; etc.  Water Main Works. Borough of the Queens.",Design,04/22/2016,10/29/2025
09/2019,"South-East Queens. Laurelton Area. Part I. Phase ""B"".    Storm, Sanitary, and Combined Sewers in 230th Place between 145th Avenue and 139th Avenue; etc.  Water Main Works. Borough of the Queens.",Design,04/22/2016,10/29/2025
03/2018,Storm sewer at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),Design,01/04/2017,11/29/2022
08/2018,Storm sewer at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),Design,01/04/2017,11/29/2023
01/2019,Storm sewer at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),Design,01/04/2017,11/29/2023
05/2019,Installation of storm sewers at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),Design,01/04/2017,11/29/2023
09/2019,Installation of storm sewers at 224th St and 149th Ave and along the access road through Idlewild Parks known as Springfield Lane (Spine Farmers Blvd),Design,01/04/2017,11/29/2023
03/2018,"COMBINED SEWER IN 70TH STREET, QUEENS",Design,08/31/2016,06/11/2020
08/2018,"COMBINED SEWER IN 70TH STREET, QUEENS",Construction Procurement,08/31/2016,12/22/2020
01/2019,"COMBINED SEWER IN 70TH STREET, QUEENS",Construction Procurement,08/31/2016,11/21/2020
05/2019,"COMBINED SEWER IN 70TH STREET, QUEENS",Construction Procurement,08/31/2016,08/10/2023
09/2019,"COMBINED SEWER IN 70TH STREET, QUEENS",Construction,08/31/2016,08/10/2023
08/2018,Replacement of Combined Sewers in 71st Street between Juniper Blvd South and Queens Midtown Expressway; including water main work.,Design,09/10/2018,
01/2019,Replacement of Combined Sewers in 71st Street between Juniper Blvd South and Queens Midtown Expressway; including water main work.,Design,09/10/2018,08/30/2020
05/2019,"Replacement of combined sewer in 71st Street between Juniper Boulevard South and Queens Midtown Expressway, etc.",Design,09/10/2018,08/29/2023
09/2019,"Replacement of combined sewer in 71st Street between Juniper Boulevard South and Queens Midtown Expressway, etc.",Design,09/10/2018,10/29/2023
08/2018,"Springfield Gardens Reconstruction Phase 5 including Storm and Sanitary sewer extensions and upgrades, Water Main replacement on 146th Ave from 153rd Place to 159th St. (Design Consultant)",Design,05/09/2018,
01/2019,"Springfield Gardens Reconstruction Phase 5 including Storm and Sanitary sewer extensions and upgrades, Water Main replacement on 146th Ave from 153rd Place to 159th St. (Design Consultant)",Design,05/09/2018,01/06/2025
05/2019,"SPRINGFIELD GARDENS RECONSTRUCTION PHASE 5; STORM AND SANITARY SEWER EXTENSIONS AND UPGRADES AND WATER MAIN REPLACEMENT IN 146TH AVENUE BETWEEN 153RD PLACE AND 159TH STREET, ETC, BOROUGH OF QUEENS (HWQ662G)",Design,05/09/2018,09/15/2025
09/2019,"SPRINGFIELD GARDENS RECONSTRUCTION PHASE 5; STORM AND SANITARY SEWER EXTENSIONS AND UPGRADES AND WATER MAIN REPLACEMENT IN 146TH AVENUE BETWEEN 153RD PLACE AND 159TH STREET, ETC, BOROUGH OF QUEENS (HWQ662G)",Design,05/09/2018,09/15/2025
08/2018,"Southeast Queens Guy Brewer Spine I. Storm, Sanitary and WM in North Conduit Ave bet Bailsey Blvd and Guy Brewer Blvd. (Spine Guy Brewer Blvd)",Design,09/10/2018,09/13/2024
01/2019,"Southeast Queens Guy Brewer Spine I. Storm, Sanitary and WM in North Conduit Ave bet Bailsey Blvd and Guy Brewer Blvd. (Spine Guy Brewer Blvd)",Design,09/10/2018,09/13/2024
05/2019,"Storm, Sanitary and Water Mains work in North Conduit between Baisley Blvd and Guy Brewer Blvd, South Queens",Design,09/10/2018,09/13/2024
09/2019,"Storm, Sanitary and Water Mains work in North Conduit between Baisley Blvd and Guy Brewer Blvd, South Queens",Design,09/10/2018,09/13/2024
03/2018,Construction of Storm and Sanitary sewers at various locations in Queens Priority Grid 13 & 18,Design,02/15/2018,02/12/2021
08/2018,Construction of Storm and Sanitary sewers at various locations in Queens Priority Grid 13 & 18,Design,02/15/2018,04/07/2021
01/2019,Construction of Storm and Sanitary sewers at various locations in Queens Priority Grid 13 & 18,Design,02/15/2018,04/12/2020
05/2019,"SEWER WHEN & WHERE CONTRACT IN South East Queens.  NEW STORM SEWER CONSTRUCTION, REPLACEMENT OR UPGRADES TO SANITARY SEWERS AND WATER MAIN IN PROJECT AREAS.  GREEN INFRASTRUCTURE PROJECTS IN CONJUNCTION WITH WHEN & WHERE PROJECTS.",Design,05/14/2018,08/08/2022
09/2019,"SEWER WHEN & WHERE CONTRACT IN South East Queens.  NEW STORM SEWER CONSTRUCTION, REPLACEMENT OR UPGRADES TO SANITARY SEWERS AND WATER MAIN IN PROJECT AREAS.  GREEN INFRASTRUCTURE PROJECTS IN CONJUNCTION WITH WHEN & WHERE PROJECTS.",Design,05/14/2018,08/08/2022
03/2018,"Construction of sanitary and storm sewers, water mains and appurtenances in Travis Area, Phase I. In addition, Best Management Practice Structure will be built under this project, which will serve as Storm Sewer Outlet.",Construction Procurement,04/26/2012,01/15/2021
08/2018,"Construction of sanitary and storm sewers, water mains and appurtenances in Travis Area, Phase I. In addition, Best Management Practice Structure will be built under this project, which will serve as Storm Sewer Outlet.",Construction Procurement,04/26/2012,05/07/2021
01/2019,"Construction of sanitary and storm sewers, water mains and appurtenances in Travis Area, Phase I. In addition, Best Management Practice Structure will be built under this project, which will serve as Storm Sewer Outlet.",Construction,04/26/2012,03/12/2021
05/2019,"Construction of sanitary and storm sewers, water mains and appurtenances in Travis Area, Phase I. In addition, Best Management Practice Structure will be built under this project, which will serve as Storm Sewer Outlet.",Construction,04/26/2012,03/12/2021
09/2019,"Construction of sanitary and storm sewers, water mains and appurtenances in Travis Area, Phase I. In addition, Best Management Practice Structure will be built under this project, which will serve as Storm Sewer Outlet.",Construction,04/26/2012,06/06/2021
03/2018,Rehabilitation of the W. 79th St Bridge over Amtrak and Rotunda Complex,Design,07/10/2000,09/20/2023
08/2018,Rehabilitation of the W. 79th St Bridge over Amtrak and Rotunda Complex,Design,07/10/2000,10/22/2023
01/2019,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,Design,07/10/2000,04/16/2024
05/2019,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,Construction Procurement,07/10/2000,10/26/2024
09/2019,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,Construction Procurement,07/10/2000,09/30/2024
01/2020,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,Construction Procurement,07/10/2000,09/16/2024
05/2020,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,Construction Procurement,07/10/2000,01/15/2025
10/2020,Rehabilitate the W. 79th St Bridge over Amtrak and Rotunda Complex,Construction Procurement,07/10/2000,06/01/2025
03/2018,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,05/09/2024
08/2018,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,05/09/2024
