school/oss.LOCATION NAME,school/oss.LOCATION CATEGORY,school/oss.ADMINISTRATIVE DISTRICT,school/oss.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,school/oss.ASIAN STUDENTS With 2 or More Suspensions or Removals,school/oss.BLACK STUDENTS With 2 or More Suspensions or Removals,school/oss.HISPANIC STUDENTS With 2 or More Suspensions or Removals,school/oss.WHITE STUDENTS With 2 or More Suspensions or Removals,school/oss.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,school/oss.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,school/oss.TOTAL STUDENTS With 2 or More Suspensions or Removals,DBN
EBC High School for Public Service - Bushwick,High school,32.0,*,*,*,*,*,*,*,6,32K545
East River Academy,High school,79.0,*,*,*,*,*,*,*,*,79Q344
Home Schooling,Central-HQ-Citywide,14.0,*,*,*,*,*,*,*,*,14K444
Creston Academy,Junior High-Intermediate-Middle,10.0,*,*,*,*,*,*,*,*,10X447
The Cinema School,High school,12.0,*,*,*,*,*,*,*,*,12X478
P.S. 81Q Jean Paul Richter,Elementary,24.0,*,*,*,*,*,*,*,*,24Q081
Queens High School for the Sciences at York Colleg,High school,28.0,*,*,*,*,*,*,*,*,28Q687
I.S. 025 Adrien Block,Junior High-Intermediate-Middle,25.0,*,*,*,*,*,*,*,*,25Q025
Jonathan Levin High School for Media and Communica,High school,9.0,*,*,*,*,*,*,*,*,09X414
Bronx Collaborative High School,High school,10.0,*,*,*,*,*,*,*,*,10X351
J.H.S. 234 Arthur W. Cunningham,Junior High-Intermediate-Middle,22.0,*,*,12,*,7,*,*,22,22K234
William E. Grady Career and Technical Education Hi,High school,21.0,*,*,24,*,*,*,*,31,21K620
Automotive High School,High school,14.0,*,*,*,*,*,*,*,6,14K610
Thomas C. Giordano Middle School 45,Junior High-Intermediate-Middle,10.0,*,*,11,17,*,*,*,31,10X045
Astor Collegiate Academy,High school,11.0,*,*,8,*,*,*,*,12,11X299
I.S. 227 Louis Armstrong,Junior High-Intermediate-Middle,30.0,*,*,*,*,*,*,*,6,30Q227
Information Technology High School,High school,30.0,*,*,*,*,*,*,*,9,30Q502
J.H.S. 278 Marine Park,Junior High-Intermediate-Middle,22.0,*,*,16,*,*,*,*,20,22K278
"Brooklyn Latin School, The",High school,14.0,*,*,*,*,*,*,*,*,14K449
Manhattan Village Academy,High school,2.0,*,*,*,*,*,*,*,6,02M439
The Urban Assembly Unison School,Junior High-Intermediate-Middle,13.0,*,*,9,*,*,*,*,13,13K351
P.S. 095 The Gravesend,K-8,21.0,*,*,*,*,*,*,*,*,21K095
P.S. 261 Philip Livingston,Elementary,15.0,*,*,*,*,*,*,*,*,15K261
Vanguard High School,High school,2.0,*,*,*,*,*,*,*,*,02M449
Bronx Aerospace High School,High school,11.0,*,*,*,*,*,*,*,47,11X545
Bushwick School for Social Justice,High school,32.0,*,*,*,13,*,*,*,18,32K549
Bronx Alliance Middle School,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*,11X355
P.S. 048 Joseph R. Drake,Elementary,8.0,*,*,*,*,*,*,*,*,08X048
"High School for Mathematics, Science and Engineeri",High school,5.0,*,*,*,*,*,*,*,*,05M692
High School for Contemporary Arts,High school,11.0,*,*,6,*,*,*,*,9,11X544
Brooklyn School for Music & Theatre,High school,17.0,*,*,47,8,*,*,*,57,17K548
P.S. 130 The Parkside,Elementary,15.0,*,*,*,*,*,*,*,*,15K130
J.H.S. 057 Whitelaw Reid,Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*,16K057
J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,2.0,*,*,6,*,*,*,*,15,02M104
P.S./I.S. 268,K-8,29.0,*,*,*,*,*,*,*,*,29Q268
P.S. 202 Ernest S. Jenkyns,Elementary,19.0,*,*,*,*,*,*,*,*,19K202
Home Schooling,Central-HQ-Citywide,16.0,*,*,*,*,*,*,*,*,16K444
P.S. 110 The Monitor,Elementary,14.0,*,*,*,*,*,*,*,*,14K110
P.S. 110,Elementary,24.0,*,*,*,*,*,*,*,*,24Q110
Phoenix Academy,High school,79.0,*,*,*,*,*,*,*,*,79X490
The STAR Academy - P.S.63,Elementary,1.0,*,*,*,*,*,*,*,6,01M063
P.S. 345 Patrolman Robert Bolden,Elementary,19.0,*,*,*,*,*,*,*,*,19K345
District 29 Pre-K Center,District Pre-K Center,29.0,*,*,*,*,*,*,*,*,29Q381
Frederick Douglass Academy,Secondary School,5.0,*,*,*,*,*,*,*,*,05M499
P.S. 197 The Ocean School,Elementary,27.0,*,*,*,*,*,*,*,*,27Q197
P.S. 042 Eltingville,Elementary,31.0,*,*,*,*,*,*,*,*,31R042
I.S. 117 Joseph H. Wade,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,8,09X117
P.S. 328 Phyllis Wheatley,Elementary,19.0,*,*,*,*,*,*,*,*,19K328
New Utrecht Evening Hs M/W,Ungraded,20.0,*,*,*,*,*,*,*,*,20K920
New Voices School of Academic & Creative Arts,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,*,15K443
Baccalaureate School for Global Education,Secondary School,30.0,*,*,*,*,*,*,*,*,30Q580
M.S. 328 - Manhattan Middle School for Scientific,Junior High-Intermediate-Middle,6.0,*,*,*,*,*,*,*,*,06M328
District 30 Pre-K Center,District Pre-K Center,30.0,*,*,*,*,*,*,*,*,30Q389
The College Academy,High school,6.0,*,*,*,*,*,*,*,*,06M462
High School of Graphic Communication Arts,High school,2.0,*,*,*,*,*,*,*,*,02M625
P.S. 269 Nostrand,Elementary,22.0,*,*,8,*,*,*,*,9,22K269
P.S./I.S. 087 Middle Village,K-8,24.0,*,*,*,*,*,*,*,7,24Q087
Fordham Leadership Academy for Business and Techno,High school,10.0,*,*,*,*,*,*,*,18,10X438
P.S. 124 Yung Wing,Elementary,2.0,*,*,*,*,*,*,*,*,02M124
I.S. 192 The Linden,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,6,29Q192
P.S. 093 William H. Prescott,Elementary,13.0,*,*,*,*,*,*,*,*,13K093
The Children's School,Elementary,15.0,*,*,*,*,*,*,*,*,15K418
Edward R. Murrow High School,High school,21.0,*,*,8,*,*,*,*,14,21K525
P.S. 073 Thomas S. Boyland,K-8,23.0,*,*,*,*,*,*,*,*,23K073
I.S. X303 Leadership & Community Service,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,*,09X303
High School for Innovation in Advertising and Medi,High school,18.0,*,*,15,*,*,*,*,17,18K617
District 11 Pre-K Center,District Pre-K Center,11.0,*,*,*,*,*,*,*,*,11X534
P.S. 333 - The Museum School,Elementary,8.0,*,*,*,*,*,*,*,*,08X333
P.S. X037 - Multiple Intelligence School,K-8,10.0,*,*,*,*,*,*,*,7,10X037
Gregorio Luperon High School for Science and Mathe,High school,6.0,*,*,*,*,*,*,*,*,06M552
Neighborhood School,Elementary,1.0,*,*,*,*,*,*,*,*,01M363
Bronx Latin,Secondary School,12.0,*,*,*,*,*,*,*,31,12X267
P.S. 006 Lillie D. Blake,Elementary,2.0,*,*,*,*,*,*,*,*,02M006
P.S. 191 Paul Robeson,Elementary,17.0,*,*,*,*,*,*,*,*,17K191
P.S. 169 Sunset Park,Elementary,15.0,*,*,*,*,*,*,*,*,15K169
P.S. 005 Huguenot,Elementary,31.0,*,*,*,*,*,*,*,*,31R005
The Bronx Mathematics Preparatory School,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,9,08X375
Academy of Hospitality and Tourism,High school,17.0,*,*,*,*,*,*,*,9,17K408
"The Marie Curie School for Medicine, Nursing, and",High school,10.0,*,*,*,*,*,*,*,*,10X237
"City Polytechnic High School of Engineering, Archi",High school,13.0,*,*,*,*,*,*,*,7,13K674
P.S. 264 Bay Ridge Elementary School For The Arts,Elementary,20.0,*,*,*,*,*,*,*,*,20K264
P.S. 012 James B. Colgate,Elementary,24.0,*,*,*,*,*,*,*,*,24Q012
P.S. 154 Harriet Tubman,Elementary,5.0,*,*,*,*,*,*,*,*,05M154
P.S. 119 Amersfort,Elementary,22.0,*,*,*,*,*,*,*,*,22K119
P.S. 319,Early Childhood,14.0,*,*,*,*,*,*,*,*,14K319
Home Schooling,Central-HQ-Citywide,9.0,*,*,*,*,*,*,*,*,09X444
Washington Irving Evng Hs T/R @NTHS,Ungraded,2.0,*,*,*,*,*,*,*,*,02M902
It Takes a Village Academy,High school,18.0,*,*,6,*,*,*,*,7,18K563
South Brooklyn Community High School,High school,15.0,*,*,*,*,*,*,*,*,15K698
J.H.S. 074 Nathaniel Hawthorne,Junior High-Intermediate-Middle,26.0,*,*,*,*,*,*,*,*,26Q074
Bronx Lab School,High school,11.0,*,*,26,17,*,*,*,44,11X265
East Bronx Academy for the Future,Secondary School,12.0,*,*,18,43,*,*,*,63,12X271
P.S. 108 Captain Vincent G. Fowler,Elementary,27.0,*,*,*,*,*,*,*,*,27Q108
P.S. 396,Elementary,10.0,*,*,*,*,*,*,*,*,10X396
Academy of Urban Planning,High school,32.0,*,*,*,*,*,*,*,*,32K552
"Collaborative Academy of Science, Technology, & La",Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,11,01M345
Murry Bergtraum High School for Business Careers,High school,2.0,*,*,*,*,*,*,*,*,02M520
P. S. 62 - Chester Park School,Elementary,27.0,*,*,*,*,*,*,*,*,27Q062
P.S. 201 The Discovery School for Inquiry and Rese,Elementary,25.0,*,*,*,*,*,*,*,*,25Q201
P.S. Q993,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75Q993
"School for Human Rights, The",Secondary School,17.0,*,*,*,*,*,*,*,*,17K531
P.S. 007 Abraham Lincoln,Elementary,19.0,*,*,*,*,*,*,*,*,19K007
Home Instruction - Queen,Ungraded,75.0,*,*,*,*,*,*,*,*,75Q504
Frank Mccourt High School,High school,3.0,*,*,*,*,*,*,*,*,03M417
P.S. 217 Colonel David Marcus School,Elementary,22.0,*,*,*,*,*,*,*,*,22K217
P.S. 213 New Lots,Elementary,19.0,*,*,*,*,*,*,*,*,19K213
P.S. Q177,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75Q177
Jamaica Gateway to the Sciences,High school,28.0,*,*,*,*,*,*,*,*,28Q350
P.S. 105 Sen Abraham Bernstein,Elementary,11.0,*,*,*,*,*,*,*,*,11X105
Community Action School - MS 258,Junior High-Intermediate-Middle,3.0,*,*,*,*,*,*,*,10,03M258
M.S. 324 - Patria Mirabal,Junior High-Intermediate-Middle,6.0,*,*,*,*,*,*,*,9,06M324
High School for Violin and Dance,High school,9.0,*,*,*,*,*,*,*,*,09X543
I.S. 204 Oliver W. Holmes,Junior High-Intermediate-Middle,30.0,*,*,19,14,*,*,*,39,30Q204
The Gordon Parks School,K-8,29.0,*,*,*,*,*,*,*,*,29Q270
Hillcrest High School,High school,28.0,*,*,*,*,*,*,*,*,28Q505
P.S. 196 Grand Central Parkway,Elementary,28.0,*,*,*,*,*,*,*,*,28Q196
P.S. 059 The Community School of Technology,Elementary,10.0,*,*,*,*,*,*,*,*,10X059
Franklin Delano Roosevelt High School,High school,20.0,*,*,12,*,*,*,*,22,20K505
Comprehensive Model School Project M.S. 327,Secondary School,9.0,*,*,*,*,*,*,*,23,09X327
P.S. 009 Sarah Anderson,Elementary,3.0,*,*,*,*,*,*,*,*,03M009
Home Schooling,Central-HQ-Citywide,24.0,*,*,*,*,*,*,*,*,24Q444
Mott Hall Bridges Academy,Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*,23K671
University Neighborhood Middle School,Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,*,01M332
Franklin Delano Roosevelt YABC,High school,20.0,*,*,*,*,*,*,*,*,20K658
P.S. R373,K-8,75.0,*,*,*,*,*,*,*,*,75R373
Bronx School of Law and Finance,High school,10.0,*,*,*,*,*,*,*,*,10X284
Pelham Gardens Middle School,Junior High-Intermediate-Middle,11.0,*,*,10,*,*,*,*,12,11X566
P.S. 121 Queens,Elementary,28.0,*,*,*,*,*,*,*,*,28Q121
Transit Tech Career and Technical Education High S,High school,19.0,*,*,*,*,*,*,*,6,19K615
Thomas A. Edison Career and Technical Education Hi,High school,28.0,*,*,9,*,*,*,*,15,28Q620
The Science And Medicine Middle School,Junior High-Intermediate-Middle,18.0,*,*,*,*,*,*,*,22,18K366
P.S. 106 Edward Everett Hale,Elementary,32.0,*,*,*,*,*,*,*,*,32K106
P.S. 153 Adam Clayton Powell,Elementary,6.0,*,*,*,*,*,*,*,*,06M153
Williamsburg Preparatory School,High school,14.0,*,*,*,*,*,*,*,8,14K561
P.S. 139 Rego Park,Elementary,28.0,*,*,*,*,*,*,*,*,28Q139
Global Technology Preparatory,Junior High-Intermediate-Middle,4.0,*,*,*,*,*,*,*,*,04M406
Marta Valle High School,High school,1.0,*,*,9,*,*,*,*,12,01M509
Academy for New Americans,Junior High-Intermediate-Middle,30.0,*,*,*,*,*,*,*,*,30Q235
P.S. 070 Max Schoenfeld,Elementary,9.0,*,*,9,6,*,*,*,16,09X070
Manhattan School for Career Development,High school,75.0,*,*,*,*,*,*,*,*,75M751
Waterside School For Leadership,Junior High-Intermediate-Middle,27.0,*,*,8,*,*,*,*,10,27Q318
Park East High School,High school,4.0,*,*,*,*,*,*,*,*,04M495
P.S. 033 Chelsea Prep,Elementary,2.0,*,*,*,*,*,*,*,*,02M033
Urban Assembly Institute of Math and Science for Y,Secondary School,13.0,*,*,*,*,*,*,*,6,13K527
Ralph A. Fabrizio School,Elementary,20.0,*,*,*,*,*,*,*,*,20K170
Home Schooling Dist 27q,Central-HQ-Citywide,27.0,*,*,*,*,*,*,*,*,27Q444
Morris Academy for Collaborative Studies,High school,9.0,*,*,*,*,*,*,*,6,09X297
P.S./M.S. 138 Sunrise,K-8,29.0,*,*,*,*,*,*,*,*,29Q138
P.S. Q811,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75Q811
Peace and Diversity Academy,High school,12.0,*,*,*,*,*,*,*,*,12X278
P.S. 054 Charles W. Leng,Elementary,31.0,*,*,*,*,*,*,*,*,31R054
Bronx High School for the Visual Arts,High school,11.0,*,*,*,*,*,*,*,*,11X418
Queens United Middle School,Junior High-Intermediate-Middle,29.0,*,*,*,*,*,*,*,*,29Q289
P.S. 102 Bayview,K-8,24.0,*,*,*,*,*,*,*,6,24Q102
Home Schooling,Central-HQ-Citywide,22.0,*,*,*,*,*,*,*,*,22K444
P.S. 101 School in the Gardens,Elementary,28.0,*,*,*,*,*,*,*,*,28Q101
The Queens School for Leadership and Excellence,Elementary,28.0,*,*,*,*,*,*,*,*,28Q349
Townsend Harris High School,High school,25.0,*,*,*,*,*,*,*,*,25Q525
The Riverview School,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75Q277
Lyons Community School,Secondary School,14.0,*,*,*,*,*,*,*,*,14K586
P.S. 076 A. Philip Randolph,K-8,3.0,*,*,14,*,*,*,*,16,03M076
P.S. 276 Louis Marshall,Elementary,18.0,*,*,*,*,*,*,*,*,18K276
Mott Hall IV,Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*,23K522
P.S. 124 Silas B. Dutcher,Elementary,15.0,*,*,*,*,*,*,*,*,15K124
P.S. 095 Eastwood,Elementary,29.0,*,*,*,*,*,*,*,*,29Q095
Boys and Girls High School,High school,16.0,*,*,*,*,*,*,*,*,16K455
The School of Integrated Learning,Junior High-Intermediate-Middle,17.0,*,*,*,*,*,*,*,*,17K354
Jacob Riis School,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*,02M893
P.S. 048 William G. Wilcox,K-8,31.0,*,*,*,*,*,*,*,*,31R048
P.S. 032 Belmont,Elementary,10.0,*,*,*,*,*,*,*,*,10X032
P.S. 198 Brooklyn,Elementary,22.0,*,*,*,*,*,*,*,*,22K198
"Robert F. Wagner, Jr. Secondary School for Arts an",Secondary School,24.0,*,*,*,*,*,*,*,*,24Q560
P.S. K231,K-8,75.0,*,*,*,*,*,*,*,*,75K231
N.Y.C. Lab School for Collaborative Studies,High school,2.0,*,*,*,*,*,*,*,*,02M412
Rose Hill Pre-K Center,District Pre-K Center,10.0,*,*,*,*,*,*,*,*,10X535
I.S. 230,Junior High-Intermediate-Middle,30.0,*,*,*,*,*,*,*,*,30Q230
Andries Hudde,Junior High-Intermediate-Middle,22.0,*,*,14,*,*,*,*,17,22K240
M.S. 131,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,6,02M131
Life Sciences Secondary School,Secondary School,2.0,*,*,*,*,*,*,*,34,02M655
Bronx River High School,High school,8.0,*,*,11,20,*,*,*,34,08X349
P.S. M226,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75M226
P.S. 050 Vito Marcantonio,K-8,4.0,*,*,*,*,*,*,*,6,04M050
P.S. 299 Thomas Warren Field,Elementary,32.0,*,*,*,*,*,*,*,*,32K299
Brooklyn's Daily Discovery Pre-K Center,District Pre-K Center,21.0,*,*,*,*,*,*,*,*,21K840
P.S. 127 Aerospace Science Magnet School,K-8,30.0,*,*,7,*,*,*,*,8,30Q127
P.S. 137 John L. Bernstein,Elementary,1.0,*,*,*,*,*,*,*,*,01M137
High School for Civil Rights,High school,19.0,*,*,6,*,*,*,*,7,19K504
P.S. 004 Maurice Wollin,Elementary,31.0,*,*,*,*,*,*,*,*,31R004
P.S. 247 Brooklyn,Elementary,20.0,*,*,*,*,*,*,*,*,20K247
Kappa,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,6,09X215
I.S. M286 Renaissance Leadership Academy,Junior High-Intermediate-Middle,5.0,*,*,*,*,*,*,*,*,05M286
P.S. 213 The Carl Ullman School,Elementary,26.0,*,*,*,*,*,*,*,*,26Q213
Pathways in Technology Early College High School (,High school,17.0,*,*,*,*,*,*,*,*,17K122
P.S. 011 Kathryn Phelan,Elementary,30.0,*,*,*,*,*,*,*,*,30Q011
M.S. 584,Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*,16K584
P.S. 151 Lyndon B. Johnson,Elementary,32.0,*,*,*,*,*,*,*,*,32K151
Bronx Health Sciences High School,High school,11.0,*,*,*,*,*,*,*,*,11X249
Academy of Applied Mathematics and Technology,Junior High-Intermediate-Middle,7.0,*,*,8,*,*,*,*,10,07X343
Queens Preparatory Academy,High school,29.0,*,*,24,*,*,*,*,28,29Q248
Choir Academy of Harlem,Secondary School,5.0,*,*,*,*,*,*,*,*,05M469
P.S./ IS 178 Holliswood,K-8,26.0,*,*,*,*,*,*,*,*,26Q178
Hillside Arts & Letters Academy,High school,28.0,*,*,*,*,*,*,*,*,28Q325
Art and Design High School,High school,2.0,*,*,*,*,*,*,*,7,02M630
I.S. 313 School of Leadership Development,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,*,09X313
Home Schooling,Central-HQ-Citywide,11.0,*,*,*,*,*,*,*,*,11X444
P.S. X188,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75X188
P.S. 116 Elizabeth L Farrell,Elementary,32.0,*,*,*,*,*,*,*,*,32K116
T. Roosevelt Evening Hs T/R,Ungraded,10.0,*,*,*,*,*,*,*,*,10X904
New Bridges Elementary,Elementary,17.0,*,*,*,*,*,*,*,*,17K532
The Family School,Elementary,9.0,*,*,*,*,*,*,*,*,09X443
P.S. 022 Graniteville,Elementary,31.0,*,*,10,7,*,*,*,18,31R022
P.S. 165 Ida Posner,K-8,23.0,*,*,*,*,*,*,*,6,23K165
The High School of Fashion Industries,High school,2.0,*,*,*,*,*,*,*,*,02M600
Hospital Schools - Brooklyn,Ungraded,75.0,*,*,*,*,*,*,*,*,75K403
Schuylerville Preparatory High School,High school,8.0,*,*,*,*,*,*,*,*,08X348
P.S. 268 Emma Lazarus,Elementary,18.0,*,*,*,*,*,*,*,*,18K268
New Dorp Evening Hs M/W,Ungraded,31.0,*,*,*,*,*,*,*,*,31R901
Linden Tree Elementary School,Elementary,11.0,*,*,*,*,*,*,*,*,11X567
P.S. 232 Lindenwood,K-8,27.0,*,*,*,*,*,*,*,*,27Q232
Mott Hall Bronx High School,High school,9.0,*,*,*,11,*,*,*,16,09X252
P.S. 65 - The Raymond York Elementary School,Elementary,27.0,*,*,*,*,*,*,*,*,27Q065
The Urban Assembly School for Green Careers,High school,3.0,*,*,*,*,*,*,*,41,03M402
P.S. 255 Barbara Reing School,Elementary,22.0,*,*,*,*,*,*,*,*,22K255
P.S. 143 Louis Armstrong,Elementary,24.0,*,*,*,*,*,*,*,*,24Q143
P.S. 108 Philip J. Abinanti,Elementary,11.0,*,*,*,*,*,*,*,*,11X108
Manhattan Comprehensive Night and Day High School,High school,2.0,*,*,*,*,*,*,*,*,02M575
Bedford Stuyvesant Preparatory High School,High school,13.0,*,*,*,*,*,*,*,*,13K575
P.S. 013 Roberto Clemente,Elementary,19.0,*,*,*,*,*,*,*,*,19K013
High School of Arts and Technology,High school,3.0,*,*,*,*,*,*,*,31,03M494
Brooklyn Brownstone School,Elementary,16.0,*,*,*,*,*,*,*,*,16K628
P.S. 128 Audubon,Elementary,6.0,*,*,*,*,*,*,*,10,06M128
The Mott Hall School,Junior High-Intermediate-Middle,6.0,*,*,*,*,*,*,*,*,06M223
P.S. K004,Elementary,75.0,*,*,*,*,*,*,*,*,75K004
The Academy of the Arts,Elementary,8.0,*,*,*,*,*,*,*,*,08X335
Stuyvesant High School,High school,2.0,*,*,*,*,*,*,*,*,02M475
I.S. 061 Leonardo Da Vinci,Junior High-Intermediate-Middle,24.0,*,*,*,42,*,*,*,51,24Q061
Mott Hall II,Junior High-Intermediate-Middle,3.0,*,*,*,*,*,*,*,*,03M862
P.S. 036 Saint Albans School,Elementary,29.0,*,*,*,*,*,*,*,*,29Q036
Brooklyn School for Global Studies,Secondary School,15.0,*,*,*,*,*,*,*,30,15K429
The Urban Assembly School for Global Commerce,High school,5.0,*,*,*,*,*,*,*,17,05M157
High School for Community Leadership,High school,28.0,*,*,*,*,*,*,*,*,28Q328
P.S. /I.S. 384 Frances E. Carter,K-8,32.0,*,*,*,*,*,*,*,*,32K384
P.S. 086 The Irvington,Elementary,32.0,*,*,*,*,*,*,*,*,32K086
P.S. 326,Early Childhood,22.0,*,*,*,*,*,*,*,*,22K326
P.S. 175 The Lynn Gross Discovery School,Elementary,28.0,*,*,*,*,*,*,*,*,28Q175
P.S. 138 Samuel Randall,Elementary,8.0,*,*,*,*,*,*,*,*,08X138
P.S. 151 Mary D. Carter,Elementary,30.0,*,*,*,*,*,*,*,*,30Q151
The Little Brooklyn Pre-K Center,District Pre-K Center,15.0,*,*,*,*,*,*,*,*,15K767
P.S. 206 Jose Celso Barbosa,K-8,4.0,*,*,*,*,*,*,*,9,04M206
Harry S Truman High School,High school,11.0,*,*,*,*,*,*,*,*,11X455
P.S. 019 Asher Levy,Elementary,1.0,*,*,*,*,*,*,*,*,01M019
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High school,2.0,*,*,*,*,*,*,*,*,02M427
Learning To Work Yabc At Monroe Academy,High school,12.0,*,*,*,*,*,*,*,*,12X428
P.S. 36,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75K036
P.S. 219 Kennedy-King,Elementary,18.0,*,*,*,*,*,*,*,*,18K219
Albert Shanker School for Visual and Performing Ar,Junior High-Intermediate-Middle,30.0,*,*,16,15,*,*,*,37,30Q126
Catherine & Count Basie Middle School 72,Junior High-Intermediate-Middle,28.0,*,*,10,*,*,*,*,11,28Q072
P.S. 055 Maure,Elementary,28.0,*,*,*,*,*,*,*,*,28Q055
East-West School of International Studies,Secondary School,25.0,*,*,*,*,*,*,*,*,25Q281
P.S. 019 The Curtis School,Elementary,31.0,*,*,*,*,*,*,*,6,31R019
P.S. 110 Theodore Schoenfeld,Elementary,9.0,*,*,*,*,*,*,*,*,09X110
P.S. 111 Jacob Blackwell,K-8,30.0,*,*,*,*,*,*,*,7,30Q111
P.S. 203 Floyd Bennett School,Elementary,22.0,*,*,*,*,*,*,*,6,22K203
P.S. 020 John Bowne,Elementary,25.0,*,*,*,*,*,*,*,6,25Q020
The Michael J. Petrides School,K-12 all grades,31.0,*,*,*,*,*,*,*,*,31R080
August Martin High School,High school,27.0,*,*,22,*,*,*,*,25,27Q400
P.S. 047 John Randolph,Elementary,12.0,*,*,*,*,*,*,*,*,12X047
CSI High School for International Studies,High school,31.0,*,*,*,*,*,*,*,*,31R047
P.S. 021 Edward Hart,Elementary,25.0,*,9,*,8,*,*,*,21,25Q021
"Young Women's Leadership School, Astoria",Secondary School,30.0,*,*,*,*,*,*,*,*,30Q286
Castle Bridge School,Elementary,6.0,*,*,*,*,*,*,*,*,06M513
High School of Language and Innovation,High school,11.0,*,*,*,6,*,*,*,8,11X509
The Emerson School,Junior High-Intermediate-Middle,28.0,*,*,10,*,*,*,*,14,28Q287
P.S. 176 Cambria Heights,Elementary,29.0,*,*,*,*,*,*,*,*,29Q176
P.S. 536,Elementary,12.0,*,*,*,*,*,*,*,*,12X536
New York City Academy for Discovery,Elementary,27.0,*,*,*,*,*,*,*,*,27Q306
P.S. 219 Paul Klapper,K-8,25.0,*,*,*,*,*,*,*,9,25Q219
Cultural Academy for the Arts and Sciences,High school,18.0,*,*,32,*,*,*,*,38,18K629
Globe School for Environmental Research,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*,11X272
Bronx Academy of Health Careers,High school,11.0,*,*,6,*,*,*,*,10,11X290
P.S. 026 Rufus King,Elementary,26.0,*,*,*,*,*,*,*,*,26Q026
John Adams High School,High school,27.0,*,*,*,*,*,*,*,8,27Q480
P.S. 054 Hillside,Elementary,28.0,*,*,*,*,*,*,*,*,28Q054
International High School at LaGuardia Community C,High school,24.0,*,*,*,*,*,*,*,*,24Q530
P.S. Q023 @ Queens Children Center,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75Q023
VOYAGES Preparatory,High school,24.0,*,*,*,*,*,*,*,*,24Q744
Passages Academy,K-12 all grades,79.0,*,*,*,*,*,*,*,*,79X695
J.H.S. 226 Virgil I. Grissom,Junior High-Intermediate-Middle,27.0,*,*,6,*,*,*,*,7,27Q226
P.S. 150 Queens,Elementary,30.0,*,*,*,*,*,*,*,*,30Q150
P.S. 100 Glen Morris,Elementary,27.0,*,*,*,*,*,*,*,*,27Q100
P.S. 372 -The Children's School,Elementary,75.0,*,*,*,*,*,*,*,*,75K372
The Harbor View School,Elementary,31.0,*,*,*,*,*,*,*,*,31R059
Brooklyn Preparatory High School,High school,14.0,*,*,11,*,*,*,*,16,14K488
The Matilda Avenue School,Elementary,11.0,*,*,*,*,*,*,*,*,11X483
Franklin K. Lane Campus YABC,High school,19.0,*,*,*,*,*,*,*,*,19K501
P.S. 340,Elementary,10.0,*,*,*,*,*,*,*,*,10X340
Mott Hall V,Secondary School,12.0,*,*,*,7,*,*,*,12,12X242
"Celia Cruz Bronx High School of Music, The",High school,10.0,*,*,*,*,*,*,*,*,10X442
Rachel Carson High School for Coastal Studies,High school,21.0,*,*,10,*,*,*,*,16,21K344
P.S. 129 Patricia Larkin,Elementary,25.0,*,*,*,*,*,*,*,*,25Q129
Brooklyn Collegiate: A College Board School,High school,23.0,*,*,6,*,*,*,*,7,23K493
P.S. 094 Kings College School,Elementary,10.0,*,*,*,*,*,*,*,*,10X094
J.H.S. 227 Edward B. Shallow,Junior High-Intermediate-Middle,20.0,*,*,*,10,*,*,*,17,20K227
P.S. 246 Poe Center,Elementary,10.0,*,*,*,*,*,*,*,*,10X246
Riverdale Avenue Middle School,Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*,23K668
ACORN Community High School,High school,13.0,*,*,*,*,*,*,*,6,13K499
The Kathleen Grimm School for Leadership and Susta,Elementary,31.0,*,*,*,*,*,*,*,*,31R062
