school/qr.School Year,school/qr.Overall Rating,DBN
SY 11-12,D,18K068
SY 11-12,D,19K218
SY06-07,P,10X046
SY06-07,WD,06M311
SY08-09,WD,03M333
SY06-07,U,13K305
SY08-09,UPF,21K099
SY07-08,WD,11X542
SY06-07,P,08X332
SY06-07,P,17K528
SY07-08,P,11X299
SY09-10,P,21K095
SY09-10,WD,30Q555
SY06-07,WD,11X513
SY09-10,P,28Q140
SY 11-12,U,07X600
SY09-10,P,17K340
SY06-07,WD,12X196
SY09-10,P,01M345
SY06-07,WD,75X186
SY 11-12,P,12X217
SY08-09,P,08X376
SY08-09,WD,17K568
SY10-11,P,31R046
SY07-08,WD,15K821
SY 11-12,P,27Q207
SY07-08,P,02M625
SY06-07,P,75K036
SY06-07,P,28Q182
SY06-07,P,27Q064
SY 11-12,U,08X650
SY07-08,P,32K123
SY06-07,WD,08X130
SY06-07,P,14K610
SY10-11,U,07X547
SY07-08,WD,06M293
SY08-09,P,30Q076
SY07-08,WD,03M191
SY06-07,P,10X440
SY06-07,P,24Q143
SY06-07,P,20K503
SY 11-12,WD,04M964
SY09-10,P,10X243
SY 11-12,P,29Q192
SY10-11,D,07X381
SY09-10,WD,02M376
SY10-11,P,30Q230
SY09-10,P,24Q267
SY06-07,WD,06M463
SY10-11,P,07X005
SY07-08,WD,28Q099
SY08-09,P,17K533
SY07-08,WD,17K544
SY09-10,P,05M195
SY08-09,P,28Q690
SY07-08,WD,13K575
SY06-07,WD,12X057
SY06-07,P,07X296
SY 11-12,D,17K002
SY06-07,WD,15K656
SY07-08,WD,32K299
SY06-07,P,17K479
SY 11-12,D,19K660
SY07-08,WD,06M004
SY06-07,U,08X452
SY09-10,P,10X284
SY07-08,P,29Q494
SY08-09,P,10X237
SY07-08,WD,22K134
SY06-07,P,12X134
SY07-08,WD,12X271
SY08-09,P,06M178
SY06-07,WD,08X100
SY07-08,P,15K136
SY08-09,UPF,11X541
SY09-10,P,17K061
SY07-08,WD,12X066
SY06-07,P,30Q212
SY 11-12,P,19K007
SY06-07,U,01M539
SY06-07,P,09X058
SY08-09,P,08X452
SY08-09,P,75M138
SY07-08,WD,29Q037
SY06-07,WD,31R023
SY07-08,O,75X176
SY06-07,P,09X070
SY08-09,P,10X209
SY09-10,WD,25Q540
SY08-09,WD,18K578
SY08-09,P,27Q650
SY06-07,U,14K050
SY09-10,WD,28Q101
SY07-08,UPF,11X541
SY07-08,P,03M044
SY07-08,WD,32K554
SY07-08,P,11X021
SY10-11,P,75R037
SY06-07,P,75K373
SY 11-12,P,09X231
SY06-07,WD,10X368
SY 11-12,P,22K206
SY06-07,P,01M142
SY10-11,P,13K670
SY08-09,P,19K502
SY07-08,P,27Q223
SY09-10,P,10X546
SY09-10,P,13K616
SY10-11,U,19K218
SY10-11,D,27Q215
SY 11-12,U,05M194
SY07-08,WD,75Q023
SY07-08,P,20K170
SY10-11,D,24Q073
SY06-07,WD,11X016
SY07-08,WD,11X545
SY08-09,WD,75M035
SY07-08,WD,10X023
SY09-10,P,02M001
SY06-07,P,06M324
SY07-08,P,75X811
SY09-10,WD,19K174
SY06-07,P,02M520
SY06-07,WD,17K399
SY08-09,WD,75Q993
SY07-08,WD,20K104
SY06-07,WD,27Q066
SY08-09,P,08X332
SY10-11,P,04M108
SY06-07,WD,06M178
SY06-07,P,14K017
SY06-07,WD,19K409
SY08-09,P,27Q065
SY07-08,WD,20K229
SY 11-12,D,17K189
SY10-11,P,09X004
SY08-09,UPF,32K403
SY 11-12,P,31R006
SY07-08,P,02M529
SY06-07,P,01M650
SY07-08,P,09X073
SY10-11,P,01M064
SY09-10,P,13K313
SY10-11,D,29Q147
SY07-08,WD,31R034
SY 11-12,P,13K133
SY06-07,P,31R027
SY10-11,D,19K502
SY09-10,P,01M292
SY07-08,WD,10X342
SY10-11,P,04M206
SY07-08,P,19K166
SY07-08,WD,31R013
SY09-10,P,11X418
SY 11-12,P,31R042
SY07-08,WD,16K308
SY06-07,WD,29Q095
SY09-10,WD,06M540
SY06-07,P,28Q144
SY06-07,WD,22K277
SY08-09,P,23K156
SY08-09,WD,30Q145
SY06-07,P,09X325
SY06-07,P,25Q460
SY08-09,P,15K029
SY07-08,WD,22K236
SY07-08,WD,10X007
SY09-10,P,07X334
SY08-09,UPF,09X276
SY 11-12,P,02M392
SY07-08,WD,03M492
SY 11-12,WD,12X478
SY07-08,WD,17K241
SY07-08,WD,31R470
SY07-08,WD,24Q153
SY08-09,P,15K698
SY08-09,P,25Q025
SY07-08,WD,25Q021
SY08-09,WD,25Q281
SY 11-12,D,02M217
SY10-11,P,02M630
SY09-10,WD,22K236
SY07-08,P,10X391
SY09-10,P,02M312
SY07-08,P,23K298
SY10-11,D,07X298
SY08-09,WD,31R002
SY07-08,P,26Q188
SY06-07,WD,02M116
SY07-08,WD,23K041
SY10-11,D,28Q048
SY09-10,P,23K165
SY09-10,WD,31R450
SY06-07,WD,01M064
SY08-09,P,22K206
SY06-07,P,19K660
SY06-07,P,31R047
SY07-08,WD,22K278
SY06-07,P,28Q440
SY07-08,WD,03M145
SY06-07,P,10X051
SY08-09,WD,14K147
SY06-07,U,14K019
SY06-07,P,06M552
SY 11-12,P,26Q430
SY09-10,P,11X021
SY06-07,P,24Q071
SY06-07,P,17K022
SY 11-12,WD,19K683
SY 11-12,WD,03M009
SY06-07,U,02M217
SY 11-12,D,19K159
SY10-11,P,27Q253
SY06-07,P,29Q265
SY06-07,U,27Q123
SY05-06,WD,22K315
SY08-09,P,75M811
SY08-09,P,27Q410
SY07-08,WD,09X241
SY07-08,WD,10X009
SY10-11,P,21K228
SY07-08,WD,32K349
SY06-07,P,07X049
SY08-09,P,12X318
SY06-07,P,02M104
SY09-10,P,07X600
SY09-10,P,10X382
SY10-11,D,27Q400
SY06-07,P,27Q097
SY07-08,WD,03M247
SY07-08,WD,11X514
SY06-07,WD,08X069
SY06-07,P,29Q231
SY07-08,P,09X297
SY10-11,WD,18K211
SY07-08,O,27Q323
SY10-11,P,26Q172
SY10-11,P,30Q212
SY08-09,UPF,13K596
SY06-07,WD,02M002
SY07-08,WD,31R047
SY07-08,P,19K659
SY06-07,P,01M019
SY07-08,P,75X723
SY 11-12,P,30Q078
SY08-09,P,09X022
SY06-07,WD,25Q020
SY10-11,WD,26Q018
SY06-07,P,11X545
SY07-08,P,09X064
SY06-07,WD,19K065
SY08-09,UPF,05M302
SY07-08,P,13K307
SY08-09,P,15K429
SY 11-12,D,12X006
SY10-11,P,14K250
SY07-08,P,08X335
SY07-08,P,03M076
SY06-07,P,75M094
SY06-07,U,11X113
SY06-07,U,08X192
SY06-07,P,20K030
SY09-10,WD,15K464
SY09-10,P,14K084
SY 11-12,P,02M419
SY08-09,P,02M077
SY06-07,P,29Q248
SY07-08,WD,25Q194
SY06-07,WD,20K112
SY06-07,P,10X037
SY06-07,P,03M415
SY 11-12,U,19K306
SY06-07,P,05M161
SY10-11,U,10X438
SY06-07,WD,21K238
SY09-10,P,32K545
SY 11-12,D,29Q496
SY06-07,P,31R021
SY07-08,P,11X097
SY 11-12,D,10X033
SY06-07,P,31R031
SY07-08,P,07X049
SY07-08,WD,27Q090
SY06-07,P,11X175
SY05-06,P,17K531
SY08-09,P,25Q285
SY06-07,P,28Q055
SY08-09,P,27Q043
SY06-07,WD,25Q219
SY06-07,P,23K156
SY09-10,WD,20K220
SY07-08,WD,10X003
SY06-07,WD,02M077
SY09-10,P,13K605
SY07-08,WD,17K316
SY06-07,WD,75Q993
SY09-10,P,18K629
SY06-07,WD,26Q213
SY07-08,P,09X339
SY 11-12,P,11X169
SY 11-12,D,10X045
SY06-07,P,05M344
SY07-08,WD,32K116
SY10-11,P,04M155
SY06-07,WD,09X260
SY 11-12,WD,24Q600
SY07-08,P,19K072
SY10-11,P,29Q038
SY06-07,P,27Q215
SY10-11,P,15K038
SY08-09,P,09X232
SY08-09,WD,13K305
SY10-11,P,16K005
SY 11-12,P,01M137
SY08-09,WD,21K728
SY07-08,WD,30Q085
SY06-07,P,15K001
SY07-08,WD,11X089
SY08-09,P,10X045
SY06-07,WD,21K188
SY10-11,D,17K528
SY10-11,WD,09X063
SY07-08,P,22K014
SY07-08,WD,14K257
SY10-11,P,75M169
SY07-08,WD,15K321
SY08-09,P,12X067
SY 11-12,P,11X121
SY06-07,P,10X056
SY07-08,WD,24Q143
SY07-08,WD,19K302
SY08-09,P,75X012
SY07-08,WD,02M449
SY10-11,WD,26Q094
SY08-09,P,29Q248
SY 11-12,D,12X480
SY09-10,WD,08X301
SY07-08,P,02M425
SY09-10,WD,24Q610
SY 11-12,P,02M260
SY06-07,P,06M189
SY06-07,WD,22K197
SY09-10,P,13K301
SY10-11,D,28Q030
SY07-08,P,17K531
SY 11-12,D,17K352
SY07-08,WD,29Q492
SY07-08,P,06M192
SY08-09,P,75M079
SY06-07,WD,22K555
SY07-08,WD,13K670
SY07-08,WD,32K383
SY08-09,P,14K488
SY06-07,U,08X450
SY06-07,WD,75K053
SY07-08,WD,03M258
SY06-07,P,27Q225
SY08-09,P,13K009
SY06-07,P,01M292
SY07-08,UPF,09X090
SY07-08,WD,10X032
SY09-10,P,17K489
SY10-11,D,09X517
SY06-07,WD,08X048
SY08-09,P,12X341
SY06-07,P,03M165
SY09-10,P,24Q128
SY07-08,WD,06M143
SY06-07,P,21K121
SY08-09,P,18K566
SY07-08,WD,75Q224
SY 11-12,P,75K004
SY06-07,P,02M896
SY 11-12,D,19K678
SY10-11,P,10X141
SY08-09,UPF,11X287
SY06-07,P,21K128
SY09-10,WD,03M333
SY07-08,P,17K382
SY07-08,P,07X520
SY06-07,P,09X090
SY09-10,P,04M102
SY06-07,WD,26Q098
SY10-11,D,29Q116
SY07-08,P,27Q042
SY06-07,P,02M414
SY 11-12,P,05M030
SY08-09,P,75M226
SY09-10,P,08X131
SY07-08,P,16K243
SY09-10,WD,23K644
SY09-10,P,30Q126
SY06-07,P,10X243
SY07-08,P,02M001
SY09-10,P,09X525
SY08-09,P,07X600
SY 11-12,P,12X196
SY09-10,P,08X405
SY09-10,P,16K628
SY07-08,WD,02M298
SY06-07,P,01M301
SY09-10,P,07X427
SY 11-12,D,29Q181
SY06-07,P,01M448
SY06-07,P,09X227
SY07-08,WD,09X263
SY10-11,P,05M469
SY06-07,P,11X270
SY07-08,WD,27Q124
SY08-09,WD,07X551
SY07-08,P,02M408
SY07-08,WD,14K120
SY07-08,WD,22K277
SY 11-12,P,25Q242
SY 11-12,WD,02M565
SY09-10,WD,24Q485
SY07-08,P,11X287
SY08-09,P,24Q028
SY07-08,WD,20K200
SY07-08,WD,10X331
SY07-08,WD,11X194
SY08-09,P,75R037
SY09-10,P,14K016
SY07-08,WD,75K368
SY06-07,WD,31R020
SY 11-12,D,29Q059
SY08-09,P,12X251
SY07-08,P,14K297
SY07-08,P,15K443
SY10-11,P,11X019
SY06-07,P,75M079
SY07-08,WD,10X549
SY06-07,WD,27Q108
SY07-08,WD,17K061
SY06-07,U,13K133
SY 11-12,P,09X454
SY06-07,WD,28Q117
SY 11-12,WD,04M112
SY06-07,P,17K600
SY06-07,WD,24Q550
SY10-11,P,21K188
SY07-08,P,08X282
SY07-08,WD,15K169
SY07-08,WD,11X513
SY07-08,WD,08X333
SY06-07,P,27Q042
SY09-10,P,25Q670
SY07-08,WD,31R046
SY 11-12,D,08X146
SY08-09,P,75Q233
SY06-07,P,14K126
SY08-09,P,26Q205
SY07-08,WD,30Q166
SY09-10,P,03M860
SY 11-12,D,31R016
SY 11-12,P,02M500
SY06-07,WD,75K369
SY07-08,P,75K077
SY07-08,P,11X289
SY07-08,WD,01M345
SY07-08,WD,08X101
SY05-06,WD,25Q263
SY10-11,D,23K631
SY07-08,WD,06M467
SY06-07,U,32K564
SY06-07,U,21K344
SY10-11,P,05M175
SY06-07,WD,31R041
SY06-07,P,24Q125
SY06-07,P,18K279
SY06-07,P,28Q470
SY06-07,P,09X219
SY10-11,P,32K075
SY 11-12,P,25Q130
SY09-10,P,23K150
SY06-07,WD,29Q270
SY06-07,U,07X156
SY 11-12,P,03M541
SY06-07,P,23K073
SY07-08,WD,15K088
SY10-11,WD,20K204
SY07-08,WD,75X168
SY09-10,P,13K670
SY06-07,P,29Q496
SY08-09,P,25Q079
SY10-11,P,13K616
SY07-08,WD,21K188
SY07-08,WD,06M187
SY08-09,P,31R027
SY05-06,P,02M298
SY10-11,WD,06M328
SY06-07,WD,30Q011
SY07-08,P,09X088
SY07-08,WD,75K053
SY06-07,U,75X352
SY06-07,P,12X198
SY08-09,P,13K067
SY07-08,P,02M412
SY06-07,WD,19K174
SY07-08,WD,06M463
SY07-08,WD,27Q282
SY06-07,WD,02M150
SY07-08,WD,31R023
SY08-09,P,75K369
SY06-07,P,14K640
SY10-11,U,17K334
SY09-10,UPF,02M630
SY08-09,P,11X097
SY07-08,WD,22K119
SY06-07,P,12X211
SY07-08,P,03M084
SY 11-12,P,09X329
SY08-09,UPF,02M296
SY07-08,WD,08X337
SY06-07,P,14K110
SY07-08,WD,17K537
SY06-07,P,30Q235
SY07-08,WD,09X403
SY07-08,WD,02M419
SY08-09,WD,12X197
SY06-07,WD,31R048
SY06-07,P,22K535
SY08-09,P,19K452
SY10-11,P,26Q178
SY09-10,P,19K409
SY 11-12,P,07X179
SY06-07,WD,12X092
SY07-08,WD,31R021
SY07-08,WD,30Q501
SY06-07,WD,75Q004
SY07-08,P,19K306
SY06-07,U,14K049
SY06-07,P,07X220
SY08-09,WD,08X014
SY09-10,P,16K627
SY 11-12,D,32K299
SY06-07,P,19K435
SY08-09,P,28Q182
SY09-10,P,10X660
SY06-07,WD,27Q105
