school/gender.chool Name,school/gender.Grade,school/gender.Year,school/gender.Category,school/gender.Number Tested,school/gender.Mean Scale Score,school/gender.Level1_N,school/gender.Level1_%,school/gender.Level2_N,school/gender.Level2_%,school/gender.Level3_N,school/gender.Level3_%,school/gender.Level4_N,school/gender.Level4_%,school/gender.Level3+4_N,school/gender.Level3+4_%,DBN
COMMUNITY MATH & SCIENCE PREP,All Grades,2017,Female,84,284.0,37.0,44.0,28.0,33.3,17.0,20.2,2.0,2.4,19.0,22.6,06M328
COLLABORATIVE ARTS MIDDLE SCHOOL,6,2017,Male,43,269.0,30.0,69.8,9.0,20.9,4.0,9.3,0.0,0.0,4.0,9.3,29Q355
PS 159,All Grades,2014,Female,128,322.0,13.0,10.2,37.0,28.9,56.0,43.8,22.0,17.2,78.0,60.9,26Q159
PS 254 DAG HAMMARSKJOLD,5,2013,Female,54,330.0,6.0,11.1,10.0,18.5,23.0,42.6,15.0,27.8,38.0,70.4,22K254
PS 176 OVINGTON,All Grades,2016,Male,399,315.0,83.0,20.8,103.0,25.8,141.0,35.3,72.0,18.0,213.0,53.4,20K176
PS 011 KATHRYN PHELAN,6,2015,Female,80,313.0,12.0,15.0,35.0,43.8,11.0,13.8,22.0,27.5,33.0,41.3,30Q011
PS 094 KINGS COLLEGE SCHOOL,5,2014,Male,98,278.0,62.0,63.3,25.0,25.5,9.0,9.2,2.0,2.0,11.0,11.2,10X094
PS 028 WRIGHT BROTHERS,All Grades,2014,Male,172,289.0,75.0,43.6,58.0,33.7,32.0,18.6,7.0,4.1,39.0,22.7,06M028
PS 214 CADWALLADER COLDEN,5,2017,Male,37,311.0,8.0,21.6,12.0,32.4,13.0,35.1,4.0,10.8,17.0,45.9,25Q214
PS 108 SAL ABBRACCIAMENTO,5,2015,Female,58,316.0,6.0,10.3,20.0,34.5,19.0,32.8,13.0,22.4,32.0,55.2,19K108
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,6,2013,Female,39,311.0,6.0,15.4,18.0,46.2,7.0,17.9,8.0,20.5,15.0,38.5,29Q283
JHS 291 ROLAND HAYES,6,2015,Female,46,290.0,16.0,34.8,25.0,54.3,2.0,4.3,3.0,6.5,5.0,10.9,32K291
PSMS 042 R VERNAM,5,2013,Female,30,280.0,16.0,53.3,12.0,40.0,2.0,6.7,0.0,0.0,2.0,6.7,27Q042
WEST PREP ACADEMY,All Grades,2015,Female,69,294.0,16.0,23.2,43.0,62.3,10.0,14.5,0.0,0.0,10.0,14.5,03M421
PS 038 THE PACIFIC,3,2017,Female,41,328.0,7.0,17.1,4.0,9.8,18.0,43.9,12.0,29.3,30.0,73.2,15K038
PS 175 CITY ISLAND,4,2017,Female,28,311.0,4.0,14.3,10.0,35.7,9.0,32.1,5.0,17.9,14.0,50.0,11X175
PS 21 MARGARET EMERY ELM PARK,4,2013,Male,39,291.0,16.0,41.0,20.0,51.3,2.0,5.1,1.0,2.6,3.0,7.7,31R021
PS 199 MAURICE A FITZGERALD,All Grades,2017,Male,262,301.0,90.0,34.4,78.0,29.8,71.0,27.1,23.0,8.8,94.0,35.9,24Q199
PS 124 OSMOND A CHURCH,4,2014,Male,72,296.0,26.0,36.1,27.0,37.5,15.0,20.8,4.0,5.6,19.0,26.4,27Q124
YOUNG WOMEN S LEADERSHIP SCHOOL OF THE BRONX,All Grades,2014,Female,164,300.0,33.0,20.1,94.0,57.3,26.0,15.9,11.0,6.7,37.0,22.6,09X568
JHS 278 MARINE PARK,7,2013,Male,180,292.0,66.0,36.7,85.0,47.2,24.0,13.3,5.0,2.8,29.0,16.1,22K278
TAG YOUNG SCHOLARS,4,2015,Female,50,350.0,0.0,0.0,5.0,10.0,13.0,26.0,32.0,64.0,45.0,90.0,04M012
PS 304 EARLY CHILDHOOD SCHOOL,5,2013,Female,36,322.0,2.0,5.6,12.0,33.3,17.0,47.2,5.0,13.9,22.0,61.1,08X304
PS 163 ALFRED E SMITH,5,2014,Female,33,314.0,7.0,21.2,9.0,27.3,11.0,33.3,6.0,18.2,17.0,51.5,03M163
PS 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,7,2017,Female,28,296.0,5.0,17.9,18.0,64.3,5.0,17.9,0.0,0.0,5.0,17.9,16K262
MS 267 MATH SCIENCE & TECHNOLOGY,8,2016,Male,29,305.0,6.0,20.7,11.0,37.9,8.0,27.6,4.0,13.8,12.0,41.4,16K267
PS 279 CAPTAIN MANUEL RIVERA JR,7,2015,Female,59,287.0,24.0,40.7,29.0,49.2,6.0,10.2,0.0,0.0,6.0,10.2,10X279
PS 124 OSMOND A CHURCH,3,2015,Male,82,295.0,34.0,41.5,27.0,32.9,19.0,23.2,2.0,2.4,21.0,25.6,27Q124
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,All Grades,2017,Female,114,297.0,30.0,26.3,56.0,49.1,25.0,21.9,3.0,2.6,28.0,24.6,07X551
PS IS 384 FRANCES E CARTER,All Grades,2017,Female,168,296.0,50.0,29.8,74.0,44.0,35.0,20.8,9.0,5.4,44.0,26.2,32K384
PS 150 CHARLES JAMES FOX,4,2013,Female,64,289.0,29.0,45.3,27.0,42.2,6.0,9.4,2.0,3.1,8.0,12.5,12X150
THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,All Grades,2015,Female,69,285.0,37.0,53.6,23.0,33.3,8.0,11.6,1.0,1.4,9.0,13.0,09X274
PS 229 DYKER,All Grades,2017,Female,376,328.0,37.0,9.8,94.0,25.0,119.0,31.6,126.0,33.5,245.0,65.2,20K229
JHS 190 RUSSELL SAGE,All Grades,2013,Female,482,312.0,92.0,19.1,175.0,36.3,123.0,25.5,92.0,19.1,215.0,44.6,28Q190
PS 140 NATHAN STRAUS,5,2014,Female,13,286.0,6.0,46.2,6.0,46.2,1.0,7.7,0.0,0.0,1.0,7.7,01M140
PS 140 NATHAN STRAUS,3,2014,Female,11,263.0,8.0,72.7,3.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,01M140
PS 001 COURTLANDT SCHOOL,3,2017,Female,51,284.0,28.0,54.9,16.0,31.4,7.0,13.7,0.0,0.0,7.0,13.7,07X001
PS 048 WILLIAM WORDSWORTH,5,2015,Male,27,275.0,15.0,55.6,8.0,29.6,3.0,11.1,1.0,3.7,4.0,14.8,28Q048
PS 107,3,2016,Male,37,299.0,16.0,43.2,11.0,29.7,9.0,24.3,1.0,2.7,10.0,27.0,08X107
PS 047 JOHN RANDOLPH,All Grades,2013,Male,256,282.0,143.0,55.9,87.0,34.0,23.0,9.0,3.0,1.2,26.0,10.2,12X047
DOCK STREET SCHOOL FOR STEAM STUDIES,8,2013,Male,25,273.0,15.0,60.0,7.0,28.0,3.0,12.0,0.0,0.0,3.0,12.0,13K313
PS 069 DANIEL D TOMPKINS,4,2014,Female,66,311.0,16.0,24.2,18.0,27.3,21.0,31.8,11.0,16.7,32.0,48.5,31R069
PS 147 ISAAC REMSEN,4,2013,Female,14,287.0,6.0,42.9,6.0,42.9,2.0,14.3,0.0,0.0,2.0,14.3,14K147
NEW DESIGN MIDDLE SCHOOL,7,2015,Male,37,264.0,32.0,86.5,4.0,10.8,1.0,2.7,0.0,0.0,1.0,2.7,05M514
TEACHERS COLLEGE COMMUNITY SCHOOL,5,2017,Male,11,287.0,6.0,54.5,4.0,36.4,1.0,9.1,0.0,0.0,1.0,9.1,05M517
PS 305 DR PETER RAY,5,2016,Female,18,293.0,8.0,44.4,5.0,27.8,4.0,22.2,1.0,5.6,5.0,27.8,13K305
MS M245 THE COMPUTER SCHOOL,All Grades,2017,Male,159,331.0,4.0,2.5,33.0,20.8,71.0,44.7,51.0,32.1,122.0,76.7,03M245
MS 584,All Grades,2017,Female,27,286.0,14.0,51.9,10.0,37.0,2.0,7.4,1.0,3.7,3.0,11.1,16K584
PS 057 HUBERT H HUMPHREY,All Grades,2015,Male,152,283.0,75.0,49.3,53.0,34.9,19.0,12.5,5.0,3.3,24.0,15.8,31R057
COMMUNITY MATH & SCIENCE PREP,8,2016,Female,16,285.0,4.0,25.0,12.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,06M328
PIONEER ACADEMY,3,2014,Male,79,287.0,42.0,53.2,27.0,34.2,10.0,12.7,0.0,0.0,10.0,12.7,24Q307
BROOKLYN GARDENS ELEMENTARY SCHOOL,All Grades,2017,Female,65,288.0,27.0,41.5,30.0,46.2,7.0,10.8,1.0,1.5,8.0,12.3,19K557
NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH HS,3,2013,Female,83,358.0,0.0,0.0,1.0,1.2,40.0,48.2,42.0,50.6,82.0,98.8,01M539
PS 045 CLARENCE WITHERSPOON,6,2017,Female,7,281.0,3.0,42.9,4.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,27Q045
PS 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,All Grades,2015,Female,102,338.0,5.0,4.9,12.0,11.8,47.0,46.1,38.0,37.3,85.0,83.3,20K748
UPPER SCHOOL @ PS 25,8,2016,Male,12,292.0,4.0,33.3,6.0,50.0,1.0,8.3,1.0,8.3,2.0,16.7,16K534
ENTRADA ACADEMY,7,2017,Male,26,264.0,17.0,65.4,7.0,26.9,2.0,7.7,0.0,0.0,2.0,7.7,12X384
PS 015 ROBERTO CLEMENTE,3,2017,Male,14,297.0,6.0,42.9,4.0,28.6,4.0,28.6,0.0,0.0,4.0,28.6,01M015
PS 071 ROSE E SCALA,All Grades,2017,Male,575,301.0,151.0,26.3,241.0,41.9,140.0,24.3,43.0,7.5,183.0,31.8,08X071
TAG YOUNG SCHOLARS,3,2017,Male,34,366.0,0.0,0.0,0.0,0.0,11.0,32.4,23.0,67.6,34.0,100.0,04M012
MOSAIC PREPARATORY ACADEMY,4,2016,Male,23,289.0,9.0,39.1,10.0,43.5,3.0,13.0,1.0,4.3,4.0,17.4,04M375
PS 031 WILLIAM T DAVIS,5,2013,Male,41,276.0,26.0,63.4,13.0,31.7,1.0,2.4,1.0,2.4,2.0,4.9,31R031
IS 093 RIDGEWOOD,7,2015,Female,157,303.0,34.0,21.7,73.0,46.5,43.0,27.4,7.0,4.5,50.0,31.8,24Q093
IS 364 GATEWAY,7,2017,Female,43,309.0,5.0,11.6,22.0,51.2,12.0,27.9,4.0,9.3,16.0,37.2,19K364
CORNERSTONE ACADEMY FOR SOCIAL ACTION,All Grades,2016,Female,70,305.0,14.0,20.0,27.0,38.6,29.0,41.4,0.0,0.0,29.0,41.4,11X189
PS 195 MANHATTAN BEACH,5,2015,Female,33,322.0,3.0,9.1,10.0,30.3,12.0,36.4,8.0,24.2,20.0,60.6,22K195
PS 129 PATRICIA LARKIN,All Grades,2014,Female,237,313.0,38.0,16.0,87.0,36.7,86.0,36.3,26.0,11.0,112.0,47.3,25Q129
BRONX HS FOR MEDICAL SCIENCE,8,2017,Male,17,306.0,2.0,11.8,8.0,47.1,6.0,35.3,1.0,5.9,7.0,41.2,09X413
PS 060 WOODHAVEN,All Grades,2016,Female,279,317.0,47.0,16.8,102.0,36.6,87.0,31.2,43.0,15.4,130.0,46.6,27Q060
PS 050 TALFOURD LAWN ELEMENTARY SCHOOL,All Grades,2013,Female,189,303.0,46.0,24.3,81.0,42.9,54.0,28.6,8.0,4.2,62.0,32.8,28Q050
PS 124 OSMOND A CHURCH,8,2017,Female,70,326.0,4.0,5.7,14.0,20.0,29.0,41.4,23.0,32.9,52.0,74.3,27Q124
PS 282 PARK SLOPE,5,2015,Female,42,303.0,8.0,19.0,22.0,52.4,10.0,23.8,2.0,4.8,12.0,28.6,13K282
TAG YOUNG SCHOLARS,6,2017,Male,40,347.0,0.0,0.0,3.0,7.5,6.0,15.0,31.0,77.5,37.0,92.5,04M012
PSMS 042 R VERNAM,3,2017,Female,35,285.0,22.0,62.9,6.0,17.1,7.0,20.0,0.0,0.0,7.0,20.0,27Q042
THE FRESH CREEK SCHOOL,3,2013,Male,15,278.0,11.0,73.3,4.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,19K325
KAPPA V  KNOWLEDGE AND POWER PREPARATORY ACADEMY,All Grades,2013,Male,104,293.0,36.0,34.6,47.0,45.2,20.0,19.2,1.0,1.0,21.0,20.2,23K518
ANDRIES HUDDE,7,2013,Male,150,287.0,63.0,42.0,69.0,46.0,15.0,10.0,3.0,2.0,18.0,12.0,22K240
PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,All Grades,2017,Male,106,292.0,43.0,40.6,38.0,35.8,22.0,20.8,3.0,2.8,25.0,23.6,28Q080
ACCION ACADEMY,7,2013,Male,23,277.0,16.0,69.6,6.0,26.1,0.0,0.0,1.0,4.3,1.0,4.3,12X341
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,7,2017,Male,28,321.0,1.0,3.6,12.0,42.9,9.0,32.1,6.0,21.4,15.0,53.6,25Q285
IS 061 WILLIAM A MORRIS,8,2013,Female,180,293.0,68.0,37.8,69.0,38.3,31.0,17.2,12.0,6.7,43.0,23.9,31R061
PS 161 JUAN PONCE DE LEON SCHOOL,All Grades,2017,Female,75,306.0,21.0,28.0,29.0,38.7,18.0,24.0,7.0,9.3,25.0,33.3,07X161
IS 096 SETH LOW,7,2014,Male,113,286.0,50.0,44.2,45.0,39.8,15.0,13.3,3.0,2.7,18.0,15.9,21K096
TECHNOLOGY ARTS AND SCIENCES STUDIO,6,2015,Male,24,282.0,10.0,41.7,12.0,50.0,2.0,8.3,0.0,0.0,2.0,8.3,01M301
PS 138 BROOKLYN,3,2013,Female,34,306.0,8.0,23.5,17.0,50.0,8.0,23.5,1.0,2.9,9.0,26.5,17K138
ELIJAH STROUD MIDDLE SCHOOL,All Grades,2016,Male,107,283.0,57.0,53.3,41.0,38.3,8.0,7.5,1.0,0.9,9.0,8.4,17K353
IS 318 EUGENIO MARIA DE HOSTOS,8,2013,Female,275,302.0,66.0,24.0,131.0,47.6,56.0,20.4,22.0,8.0,78.0,28.4,14K318
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,6,2016,Male,72,291.0,27.0,37.5,31.0,43.1,11.0,15.3,3.0,4.2,14.0,19.4,08X337
THE LONGWOOD ACADEMY FOR DISCOVERY,All Grades,2016,Male,91,287.0,45.0,49.5,35.0,38.5,11.0,12.1,0.0,0.0,11.0,12.1,08X333
PS 81Q JEAN PAUL RICHTER,4,2016,Female,67,312.0,8.0,11.9,28.0,41.8,26.0,38.8,5.0,7.5,31.0,46.3,24Q081
CIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,7,2017,Male,72,299.0,21.0,29.2,33.0,45.8,14.0,19.4,4.0,5.6,18.0,25.0,09X454
PS 008 LUIS BELLIARD,4,2017,Female,34,288.0,9.0,26.5,20.0,58.8,5.0,14.7,0.0,0.0,5.0,14.7,06M008
PS 189 THE BILINGUAL CENTER,All Grades,2017,Female,364,319.0,37.0,10.2,118.0,32.4,135.0,37.1,74.0,20.3,209.0,57.4,17K189
PS 033 EDWARD M FUNK,5,2017,Male,75,307.0,16.0,21.3,34.0,45.3,14.0,18.7,11.0,14.7,25.0,33.3,29Q033
IS X318 MATH SCIENCE & TECHNOLOGY THROUGH ARTS,7,2013,Male,48,277.0,29.0,60.4,13.0,27.1,5.0,10.4,1.0,2.1,6.0,12.5,12X318
PS 075 EMILY DICKINSON,4,2017,Female,38,323.0,4.0,10.5,11.0,28.9,14.0,36.8,9.0,23.7,23.0,60.5,03M075
PS 174 WILLIAM SIDNEY MOUNT,5,2016,Female,34,318.0,7.0,20.6,9.0,26.5,5.0,14.7,13.0,38.2,18.0,52.9,28Q174
IS R002 GEORGE L EGBERT,8,2016,Male,137,300.0,32.0,23.4,66.0,48.2,28.0,20.4,11.0,8.0,39.0,28.5,31R002
PS 181 BROOKFIELD,4,2013,Female,25,300.0,9.0,36.0,11.0,44.0,5.0,20.0,0.0,0.0,5.0,20.0,29Q181
PS 100 GLEN MORRIS,3,2013,Male,91,301.0,34.0,37.4,29.0,31.9,24.0,26.4,4.0,4.4,28.0,30.8,27Q100
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL  CASA,All Grades,2015,Female,125,302.0,20.0,16.0,70.0,56.0,29.0,23.2,6.0,4.8,35.0,28.0,11X462
PS 123 MAHALIA JACKSON,3,2015,Female,21,279.0,13.0,61.9,6.0,28.6,2.0,9.5,0.0,0.0,2.0,9.5,05M123
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,All Grades,2016,Female,184,321.0,11.0,6.0,62.0,33.7,63.0,34.2,48.0,26.1,111.0,60.3,30Q291
PS 024 SPUYTEN DUYVIL,4,2016,Female,80,323.0,8.0,10.0,23.0,28.8,25.0,31.3,24.0,30.0,49.0,61.3,10X024
PS 215 MORRIS H WEISS,4,2013,Female,67,322.0,8.0,11.9,26.0,38.8,12.0,17.9,21.0,31.3,33.0,49.3,21K215
PS 208 ELSA EBELING,All Grades,2014,Female,108,305.0,25.0,23.1,40.0,37.0,37.0,34.3,6.0,5.6,43.0,39.8,18K208
PS 001 THE BERGEN,5,2016,Male,69,287.0,34.0,49.3,27.0,39.1,7.0,10.1,1.0,1.4,8.0,11.6,15K001
THE ACADEMY OF THE ARTS,5,2016,Male,22,297.0,8.0,36.4,7.0,31.8,7.0,31.8,0.0,0.0,7.0,31.8,08X335
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,6,2014,Female,42,282.0,21.0,50.0,18.0,42.9,3.0,7.1,0.0,0.0,3.0,7.1,19K678
PS 346 ABE STARK,All Grades,2015,Male,149,290.0,65.0,43.6,57.0,38.3,23.0,15.4,4.0,2.7,27.0,18.1,19K346
FORT GREENE PREPARATORY ACADEMY,7,2015,Female,28,287.0,14.0,50.0,10.0,35.7,4.0,14.3,0.0,0.0,4.0,14.3,13K691
PSIS 266,5,2015,Female,24,324.0,3.0,12.5,6.0,25.0,7.0,29.2,8.0,33.3,15.0,62.5,26Q266
IS 125 THOM J MCCANN WOODSIDE,All Grades,2017,Male,701,308.0,133.0,19.0,271.0,38.7,198.0,28.2,99.0,14.1,297.0,42.4,24Q125
PS 321 WILLIAM PENN,All Grades,2016,Male,202,332.0,8.0,4.0,37.0,18.3,93.0,46.0,64.0,31.7,157.0,77.7,15K321
THE STEPHANIE A VIERNO SCHOOL,All Grades,2016,Female,154,317.0,28.0,18.2,49.0,31.8,49.0,31.8,28.0,18.2,77.0,50.0,31R041
QUEENS SCHOOL OF INQUIRY THE,6,2016,Male,40,290.0,16.0,40.0,17.0,42.5,3.0,7.5,4.0,10.0,7.0,17.5,25Q252
PS 158 BAYARD TAYLOR,4,2014,Female,46,336.0,4.0,8.7,5.0,10.9,15.0,32.6,22.0,47.8,37.0,80.4,02M158
PS 054 CHARLES W LENG,All Grades,2014,Male,191,305.0,50.0,26.2,71.0,37.2,47.0,24.6,23.0,12.0,70.0,36.6,31R054
PS 043,3,2014,Male,55,279.0,31.0,56.4,15.0,27.3,9.0,16.4,0.0,0.0,9.0,16.4,27Q043
PSMS 194,3,2013,Female,66,303.0,20.0,30.3,27.0,40.9,18.0,27.3,1.0,1.5,19.0,28.8,11X194
PS 012 JAMES B COLGATE,3,2014,Male,118,319.0,18.0,15.3,33.0,28.0,57.0,48.3,10.0,8.5,67.0,56.8,24Q012
MADIBA PREP MIDDLE SCHOOL,7,2014,Male,41,270.0,28.0,68.3,13.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,16K681
JHS 062 DITMAS,7,2017,Female,154,313.0,21.0,13.6,64.0,41.6,56.0,36.4,13.0,8.4,69.0,44.8,20K062
PS 091 RICHARD ARKWRIGHT,3,2015,Female,59,309.0,17.0,28.8,15.0,25.4,22.0,37.3,5.0,8.5,27.0,45.8,24Q091
PS 068 CAMBRIDGE,All Grades,2015,Male,163,294.0,56.0,34.4,66.0,40.5,36.0,22.1,5.0,3.1,41.0,25.2,24Q068
PS 184M SHUANG WEN,4,2014,Female,41,322.0,6.0,14.6,9.0,22.0,14.0,34.1,12.0,29.3,26.0,63.4,01M184
PS 159 LUIS MUNOZ MARIN BILING,5,2016,Female,16,288.0,9.0,56.3,5.0,31.3,2.0,12.5,0.0,0.0,2.0,12.5,10X159
COLLABORATIVE ARTS MIDDLE SCHOOL,8,2014,Male,64,273.0,36.0,56.3,28.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,29Q355
JHS 226 VIRGIL I GRISSOM,8,2017,Male,138,298.0,40.0,29.0,54.0,39.1,28.0,20.3,16.0,11.6,44.0,31.9,27Q226
EAGLE ACADEMY FOR YOUNG MEN III,6,2016,Male,68,290.0,25.0,36.8,35.0,51.5,6.0,8.8,2.0,2.9,8.0,11.8,29Q327
PS 176 CAMBRIA HEIGHTS,All Grades,2017,Female,213,334.0,17.0,8.0,56.0,26.3,55.0,25.8,85.0,39.9,140.0,65.7,29Q176
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,3,2016,Female,21,297.0,6.0,28.6,12.0,57.1,3.0,14.3,0.0,0.0,3.0,14.3,17K705
IS 339,8,2016,Female,61,297.0,13.0,21.3,31.0,50.8,14.0,23.0,3.0,4.9,17.0,27.9,09X339
PS 215 MORRIS H WEISS,4,2013,Male,61,308.0,16.0,26.2,19.0,31.1,16.0,26.2,10.0,16.4,26.0,42.6,21K215
PS 165 ROBERT E SIMON,8,2015,Female,35,298.0,11.0,31.4,13.0,37.1,10.0,28.6,1.0,2.9,11.0,31.4,03M165
PS 274 KOSCIUSKO,5,2017,Male,32,283.0,20.0,62.5,7.0,21.9,3.0,9.4,2.0,6.3,5.0,15.6,32K274
PSIS 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,6,2015,Male,22,279.0,11.0,50.0,11.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,14K157
PS 007 SAMUEL STERN,5,2014,Male,16,305.0,2.0,12.5,10.0,62.5,4.0,25.0,0.0,0.0,4.0,25.0,04M007
PS 017 HENRY D WOODWORTH,5,2016,Female,23,307.0,9.0,39.1,3.0,13.0,9.0,39.1,2.0,8.7,11.0,47.8,14K017
THE 30TH AVENUE SCHOOL  G&T CITYWIDE,6,2017,Female,38,357.0,0.0,0.0,0.0,0.0,7.0,18.4,31.0,81.6,38.0,100.0,30Q300
THE BRONX SCHOOL OF YOUNG LEADERS,7,2015,Female,55,284.0,32.0,58.2,15.0,27.3,7.0,12.7,1.0,1.8,8.0,14.5,10X331
PS 186 DR IRVING A GLADSTONE,4,2017,Male,80,315.0,18.0,22.5,22.0,27.5,18.0,22.5,22.0,27.5,40.0,50.0,20K186
PSIS 104 THE FORT HAMILTON SCHOOL,8,2017,Male,83,315.0,13.0,15.7,23.0,27.7,33.0,39.8,14.0,16.9,47.0,56.6,20K104
CHOOL FOR HUMAN RIGHTS THE,6,2015,Female,23,295.0,5.0,21.7,14.0,60.9,4.0,17.4,0.0,0.0,4.0,17.4,17K531
PS 159 ISAAC PITKIN,All Grades,2016,Male,207,296.0,76.0,36.7,77.0,37.2,38.0,18.4,16.0,7.7,54.0,26.1,19K159
PS 060 WOODHAVEN,4,2016,Male,80,316.0,8.0,10.0,32.0,40.0,25.0,31.3,15.0,18.8,40.0,50.0,27Q060
PS 194 COUNTEE CULLEN,4,2017,Female,12,308.0,2.0,16.7,6.0,50.0,3.0,25.0,1.0,8.3,4.0,33.3,05M194
IS 125 THOM J MCCANN WOODSIDE,5,2013,Male,100,291.0,40.0,40.0,48.0,48.0,12.0,12.0,0.0,0.0,12.0,12.0,24Q125
PS 093 WILLIAM H PRESCOTT,4,2017,Female,24,306.0,6.0,25.0,9.0,37.5,6.0,25.0,3.0,12.5,9.0,37.5,13K093
MS 584,6,2013,Male,12,265.0,9.0,75.0,2.0,16.7,1.0,8.3,0.0,0.0,1.0,8.3,16K584
JHS 189 DANIEL CARTER BEARD,8,2014,Male,155,293.0,47.0,30.3,62.0,40.0,37.0,23.9,9.0,5.8,46.0,29.7,25Q189
PS 115 DANIEL MUCATEL SCHOOL,4,2016,Male,82,298.0,31.0,37.8,25.0,30.5,16.0,19.5,10.0,12.2,26.0,31.7,18K115
PS 011 WILLIAM T HARRIS,All Grades,2016,Female,213,335.0,11.0,5.2,46.0,21.6,84.0,39.4,72.0,33.8,156.0,73.2,02M011
MS 158 MARIE CURIE,8,2013,Male,194,312.0,28.0,14.4,78.0,40.2,59.0,30.4,29.0,14.9,88.0,45.4,26Q158
PS 082 HAMMOND,4,2013,Female,37,293.0,13.0,35.1,14.0,37.8,9.0,24.3,1.0,2.7,10.0,27.0,28Q082
IS 285 MEYER LEVIN,All Grades,2013,Male,438,286.0,183.0,41.8,195.0,44.5,57.0,13.0,3.0,0.7,60.0,13.7,18K285
PS 034 JOHN HARVARD,4,2017,Female,40,306.0,8.0,20.0,16.0,40.0,11.0,27.5,5.0,12.5,16.0,40.0,29Q034
PSMS 11X498  VAN NEST ACADEMY,All Grades,2017,Female,222,313.0,21.0,9.5,102.0,45.9,79.0,35.6,20.0,9.0,99.0,44.6,11X498
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,7,2016,Male,43,292.0,13.0,30.2,25.0,58.1,5.0,11.6,0.0,0.0,5.0,11.6,18K763
PS 181 BROOKFIELD,3,2014,Female,29,299.0,8.0,27.6,12.0,41.4,8.0,27.6,1.0,3.4,9.0,31.0,29Q181
PS 023 THE NEW CHILDREN S SCHOOL,4,2017,Female,30,300.0,6.0,20.0,16.0,53.3,7.0,23.3,1.0,3.3,8.0,26.7,10X023
PS 127 MCKINLEY PARK,5,2015,Male,34,295.0,13.0,38.2,12.0,35.3,8.0,23.5,1.0,2.9,9.0,26.5,20K127
PS 202 ERNEST S JENKYNS,All Grades,2017,Male,107,277.0,63.0,58.9,32.0,29.9,11.0,10.3,1.0,0.9,12.0,11.2,19K202
PS 230 DORIS L COHEN,4,2013,Female,99,313.0,19.0,19.2,40.0,40.4,21.0,21.2,19.0,19.2,40.0,40.4,15K230
PS 006 WEST FARMS,4,2016,Male,38,283.0,20.0,52.6,15.0,39.5,2.0,5.3,1.0,2.6,3.0,7.9,12X006
KAPPA III,8,2017,Male,50,305.0,11.0,22.0,17.0,34.0,18.0,36.0,4.0,8.0,22.0,44.0,12X316
PS 040 GEORGE W CARVER,3,2016,Female,22,298.0,9.0,40.9,7.0,31.8,6.0,27.3,0.0,0.0,6.0,27.3,16K040
ACADEMY FOR YOUNG WRITERS,8,2016,Male,22,291.0,6.0,27.3,13.0,59.1,3.0,13.6,0.0,0.0,3.0,13.6,19K404
JHS 202 ROBERT H GODDARD,6,2015,Female,162,310.0,30.0,18.5,65.0,40.1,35.0,21.6,32.0,19.8,67.0,41.4,27Q202
THE MICHAEL J PETRIDES SCHOOL,5,2015,Male,46,296.0,19.0,41.3,15.0,32.6,9.0,19.6,3.0,6.5,12.0,26.1,31R080
LYONS COMMUNITY SCHOOL,All Grades,2015,Female,68,281.0,34.0,50.0,27.0,39.7,6.0,8.8,1.0,1.5,7.0,10.3,14K586
PS 059 BEEKMAN HILL INTERNATIONAL,4,2014,Male,58,327.0,4.0,6.9,18.0,31.0,16.0,27.6,20.0,34.5,36.0,62.1,02M059
IS 227 LOUIS ARMSTRONG,7,2015,Male,189,310.0,34.0,18.0,78.0,41.3,63.0,33.3,14.0,7.4,77.0,40.7,30Q227
JHS 022 JORDAN L MOTT,6,2014,Female,71,270.0,48.0,67.6,19.0,26.8,4.0,5.6,0.0,0.0,4.0,5.6,09X022
PS 005 ELLEN LURIE,3,2013,Female,62,281.0,35.0,56.5,17.0,27.4,10.0,16.1,0.0,0.0,10.0,16.1,06M005
