school/base.School Name,school/base.School Type,school/base.Total Parent Response Rate (%),school/base.Total Teacher Response Rate (%),school/base.Total Student Response Rate (%),school/base.class,DBN
Manhattan School for Career Development,D75,20,88,88.0,True,75M751
P.S. 016 Leonard Dunkly,ES,95,96,,False,14K016
School for Community Research and Learning,HS,23,86,64.0,True,08X540
P.S. 287 Bailey K. Ashford,ES,88,75,,False,13K287
P.S. 052 John C. Thompson,ES,82,69,,False,31R052
Mott Hall IV,MS,76,100,99.0,False,23K522
P.S. 021 Philip H. Sheridan,ES,54,80,,False,11X021
"Law, Government and Community Service High School",HS,4,85,62.0,True,29Q494
Franklin Delano Roosevelt High School,HS,42,98,79.0,True,20K505
THE ACADEMY OF TALENTED SCHOLARS,ES,84,100,,False,20K682
Community Voices Middle School,MS,34,83,85.0,True,29Q356
P.S. Q177,D75,35,54,100.0,False,75Q177
James Madison High School,HS,25,54,82.0,False,22K425
P.S. 146 Ann M. Short,ES,45,87,,False,04M146
P.S. 006 Lillie D. Blake,ES,65,88,,False,02M006
P.S. 024,ES,66,95,,False,15K024
Bronx Engineering and Technology Academy,HS,16,68,34.0,True,10X213
"Young Women's Leadership School, Astoria",MS/HS,83,68,99.0,False,30Q286
I.S. 024 Myra S. Barnes,MS,78,83,98.0,True,31R024
South Bronx Classical Charter School,ES,93,86,,True,84X346
PS/MS 147 Ronald McNair,ES/MS,48,61,95.0,False,29Q147
Professional Performing Arts High School,MS/HS,32,96,88.0,True,02M408
Jamaica High School,HS,23,64,66.0,True,28Q470
Brooklyn Arts and Science Elementary School,ECC,74,82,,False,17K705
P.S. 019 Judith K. Weiss,ES/MS,57,97,100.0,False,11X019
High School for Law Enforcement and Public Safety,HS,18,97,73.0,True,28Q690
P.S. 029 John M. Harrigan,ES,73,85,,False,15K029
Harlem Renaissance High School,HST,21,100,69.0,False,05M285
Henry Street School for International Studies,MS/HS,48,94,74.0,False,01M292
P.S. 157 Grove Hill,ES,49,64,,False,07X157
The Forward School,MS,53,89,91.0,True,11X287
The Bronx Mathematics Preparatory School,MS,66,81,94.0,True,08X375
P.S. 223 Lyndon B. Johnson,ES,76,63,,False,27Q223
M.S. 250 West Side Collaborative Middle School,MS,64,94,94.0,False,03M250
Brighter Choice Community School,ES,100,100,,False,16K627
Earth School,ES,58,87,,False,01M364
P.S. 212,ES/MS,39,70,91.0,True,12X212
Marsh Avenue School for Expeditionary Learning,MS,82,97,92.0,False,31R063
P.S. 088 Seneca,ES,73,76,,True,24Q088
P.S. 075 Mayda Cortiella,ES,78,96,,True,32K075
P.S. 309 The George E. Wibecan Preparatory Academy,ES,49,91,,False,16K309
P.S. 047 Chris Galas,ES/MS,100,95,95.0,False,27Q047
John F. Kennedy Jr. School,D75,39,60,96.0,False,75Q721
High School of American Studies at Lehman College,HS,36,100,96.0,False,10X696
Our World Neighborhood Charter School,ES/MS,42,78,99.0,False,84Q706
P.S. 011 Purvis J. Behan,ES,68,67,,False,13K011
J.H.S. 292 Margaret S. Douglas,MS,55,94,95.0,True,19K292
Frederick Douglass Academy II Secondary School,MS/HS,20,86,80.0,True,03M860
World Academy for Total Community Health High School,HS,27,85,74.0,True,19K510
M.S. K266 - Park Place Community Middle School,MS,28,100,90.0,False,13K266
I.S. 051 Edwin Markham,MS,37,88,95.0,True,31R051
Innovate Manhattan Charter School,MS,22,28,67.0,True,84M524
P.S. 226,ES,53,72,,True,10X226
P.S. 198 Brooklyn,ES,33,81,,False,22K198
Mount Eden Children's Academy,ECC,96,100,,False,09X555
Robert E. Peary School,D75,28,35,97.0,True,75Q075
P.S. 167 The Parkway,ES,36,38,,True,17K167
P.S. 250 George H. Lindsay,ES,91,63,,False,14K250
New Design Middle School,MS,24,88,76.0,False,05M514
School for Global Leaders,MS,71,96,93.0,False,01M378
P.S. 117 J. Keld / Briarwood School,ES,79,92,,False,28Q117
I.S. 339,MS,61,98,93.0,True,09X339
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",MS/HS,28,100,83.0,False,24Q560
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,ES/MS,70,95,99.0,False,06M210
P.S. 273 Wortman,ES,71,100,,False,19K273
P.S. 214 Cadwallader Colden,ES,71,83,,True,25Q214
"Archimedes Academy for Math, Science and Technology Applications",MS/HS,19,39,74.0,True,08X367
Secondary School for Journalism,MS/HS,9,87,75.0,True,15K463
P.S. 151 Mary D. Carter,ES,49,67,,True,30Q151
PS 78,ECC,65,69,,False,31R078
The Urban Assembly Bronx Academy of Letters,MS/HS,39,96,87.0,True,07X551
Frances Perkins Academy,HS,32,88,86.0,True,14K632
P.S. 080 Thurgood Marshall Magnet,ES,83,96,,True,28Q080
KIPP Infinity Charter School,ES/MS,69,78,90.0,False,84M336
Urban Assembly New York Harbor School,HS,20,89,87.0,True,02M551
Harlem Children's Zone Promise Academy II Charter School,ES/MS,84,96,100.0,True,84M341
P.S. 375 Jackie Robinson School,ES,78,93,,False,17K375
I.S. 392,MS,77,100,98.0,False,23K392
P.S. / I.S. 208,ES/MS,90,88,98.0,False,29Q208
SPRUCE STREET SCHOOL,ECC,68,83,,False,02M397
P.S. 030 Westerleigh,ES,46,71,,False,31R030
Jill Chaifetz Transfer High School,HST,27,100,65.0,False,07X379
J.H.S. 067 Louis Pasteur,MS,34,94,97.0,True,26Q067
THE FAMILY SCHOOL,ES,55,70,,True,09X443
Repertory Company High School for Theatre Arts,HS,48,92,85.0,True,02M531
La Cima Charter School,ES,100,97,,False,84K649
P.S. 212 Lady Deborah Moody,ES,73,96,,False,21K212
Merrick Academy - Queens Public Charter School,ES,55,95,100.0,False,84Q704
P.S. 269 Nostrand,ES,58,79,,True,22K269
General D. Chappie James Elementary School of Science,ES,43,92,,False,23K631
P.S. 207 Rockwood Park,ES/MS,89,80,99.0,False,27Q207
P.S. 221 Toussaint L'Ouverture,ES,63,87,,False,17K221
Baccalaureate School for Global Education,MS/HS,37,72,98.0,False,30Q580
Brooklyn Collegiate: A College Board School,MS/HS,25,39,67.0,True,23K493
