Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
City Administrative Officer,10LVL5,City Administrative Officer,Proprietary Analysis,10CONREVTIME,Average Length of Time to Complete Contract Review,2020-21 Proposed
Cannabis Regulation,13LVL5,Cannabis Regulation,Regulations and Licensing,13CANNABISLICENSES,Number of Cannabis Businesses Licensed,2020-21 Proposed
City Clerk,14LVL5,City Clerk,Council and Public Services,14CITYRECORDS,Number of City Records Viewed,2020-21 Proposed
City Clerk,14LVL5,City Clerk,Administration of City Elections,14VOTEROUTREACH,Number of Outreach Events Held to Increase Voter Awareness,2020-21 Proposed
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2020-21 Proposed
City Clerk,14LVL5,City Clerk,Special Assessments,14ANNUALPLAN,Number of Annual Planning Reports Submitted by March 1,2020-21 Proposed
City Clerk,14LVL5,City Clerk,Mayor and City Council Administrative Support,14ACCOUNTING,Number of Accounting Documents Processed,2020-21 Proposed
Ethics Commission,17LVL5,City Ethics Commission,Governmental Ethics,17DISCLOSURE,Percent of Lobbying Disclosure Statements Filed on Time,2020-21 Proposed
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Adult Workforce Development,22ADULTJOBS,Number of WIOA-Funded Adults Placed in Jobs,2020-21 Proposed
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Economic Development,22NEWJOBS,Number of New Jobs Created Through Business Source Centers,2020-21 Proposed
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Youth Workforce Development,22HIRELA,Number of HireLA's Youth Placed in Employment,2020-21 Proposed
Controller,26LVL5,Controller,Accounting and Disbursement of City Funds,26DISBURSEMENTS,Paymaster Disbursements,2020-21 Proposed
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2020-21 Proposed
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITREPORTS,Number of Audit Reports,2020-21 Proposed
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FMSDOCUMENTS,Number of FMS Documents Processed Annually,2020-21 Proposed
Controller,26LVL5,Controller,Citywide Payroll Administration,26PAYSUPP,Percent of PaySR Problem Tickets Resolved,2020-21 Proposed
Cultural Affairs,30LVL5,Cultural Affairs,Community Arts,30ARTFACILITIES,Number of Individuals Served by Arts Facilities and Centers,2020-21 Proposed
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2020-21 Proposed
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2020-21 Proposed
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Applications,32PSSYSTEMS,Percent of System Availability for Public Safety Systems,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Communications,32PSRADIO,Percent of System Availability for LAFD & LAPD Radio Systems,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Customer Engagement,32311CALLS,Percent of 3-1-1 Calls Answered,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Client Services and Support,32EMAIL,Percent of Email System Availability,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise Applications,32LATAX,Percent of LATAX System Availability in Tax Renewal Season,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise and Cloud Infrastructure,32DATACENTER,Percent of Data Center Servers Virtualized,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Voice and Video Engineering and Operations,32VOICE,"Percent of Voice, Call Center, & Video Systems Availability",2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Data Engineering and Operations,32NETWORK,Percent of Network Availability,2020-21 Proposed
Information Technology Agency,32LVL5,Information Technology Agency,Business Applications and Web Services,32WEBSITE,Percent of LACity.org Website Availability,2020-21 Proposed
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,History and Museums,33ELPMUSVIS,Number of Individual Visitors,2020-21 Proposed
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Marketing and Events,33ELPATTEND,"Number of Cultural, Traditional, and Informational Attendees",2020-21 Proposed
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Property Management,33PERCENTWO,Percent of Work Orders Completed,2020-21 Proposed
Emergency Management,35LVL5,Emergency Management,Emergency Management,35COMMUNITYPLAN,Number of Neighborhood/Community Plans Prepared,2020-21 Proposed
Emergency Management,35LVL5,Emergency Management,Emergency Management,35NOTIFYLA,Number of New Subscribers Registered for NotifyLA,2020-21 Proposed
Employee Relations Board,36LVL5,Employee Relations Board,Employee Relations,36UERP,Number of UERP Related Filings,2020-21 Proposed
Fire,38LVL5,Fire,Arson Investigation and Counter-Terrorism,38INVESTIGATION,Percentage Convictions in Arson Cases,2020-21 Proposed
Fire,38LVL5,Fire,Fire Suppression,38FIRETRAVEL,Average Travel Time to Fire Incident,2020-21 Proposed
Fire,38LVL5,Fire,Fire Suppression,38FIRETURNOUT,Average Time to Leave Station after Notified - Fire Incident,2020-21 Proposed
Fire,38LVL5,Fire,Metropolitan Fire Communications,38DISPATCH,Call Processing Time,2020-21 Proposed
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2020-21 Proposed
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2020-21 Proposed
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTRAVEL,Average Travel Time to EMS Incident,2020-21 Proposed
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTURNOUT,Average Time to Leave Station after Notified - EMS Incident,2020-21 Proposed
Fire,38LVL5,Fire,Training,38TRAINING,Recruit Class Retention Rate,2020-21 Proposed
Fire,38LVL5,Fire,"Procurement, Maintenance and Repair",38FLEET,Fleet Availability Rate,2020-21 Proposed
Finance,39LVL5,Finance,Revenue Management,39COLLECTION,Percent of Delinquent Accounts Collected,2020-21 Proposed
Finance,39LVL5,Finance,Treasury Services,39TREASURYNEW,Percent of Treasury Requests Responded to in One Day,2020-21 Proposed
Finance,39LVL5,Finance,LATAX System Support,39LATAXWEB,Percent of Customer Transactions Conducted on Website,2020-21 Proposed
Finance,39LVL5,Finance,Customer Support,39CALLSANSWERED,Average Speed of Calls Answered (minutes),2020-21 Proposed
Finance,39LVL5,Finance,Investment,39INVESTVAR,Variance Between Investment Return and Industry Benchmarks,2020-21 Proposed
Finance,39LVL5,Finance,Tax and Permit,39LIABILITY,Percent of Audits with Liability Adjustments,2020-21 Proposed
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2020-21 Proposed
General Services,40LVL5,General Services,Building Maintenance,40ENERGYAUDITS,Number of Energy Audits Completed,2020-21 Proposed
General Services,40LVL5,General Services,Construction Forces,40CONSTESTIMATE,Construction Projects Completed within Original Estimate,2020-21 Proposed
General Services,40LVL5,General Services,Real Estate Services,40LEASEPROJ,Number of Lease Projects Assigned,2020-21 Proposed
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2020-21 Proposed
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2020-21 Proposed
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2020-21 Proposed
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2020-21 Proposed
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tests for Pavement Preservation Program,2020-21 Proposed
General Services,40LVL5,General Services,Supply Management,40POS,"Number of Days to Process Purchase Orders under $100,000",2020-21 Proposed
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2020-21 Proposed
General Services,40LVL5,General Services,Integrated Asset Services,40INTEGRATEDASSTMGMT,Integrated Asset Management Implementation Tasks Completed,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Development and Finance,43AFFORDABLE,Affordable Housing Units Completed,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Asset Management,43MONITOR,Number of Affordable Housing Units Monitored for Compliance,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Multi-family Residential Code Enforcement,43SCEPUNIT,Systematic Code Enforcement Program (SCEP) Units Inspected,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Program Operations,43DVVICTIM,Number of Domestic Violence Victims Served,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Housing Strategies and Services,43HOMEOWNER,Total New Homes Purchased or Households Assisted,2020-21 Proposed
Housing and Community Investment,43LVL5,Housing and Community Investment,Accessible Housing Program,43ACCESSIBLE,Accessible Units Certified as Accessible,2020-21 Proposed
Library,44LVL5,Library,Branch Library Services,44BRANCH,Number of People Attending Branch Library Programs,2020-21 Proposed
Library,44LVL5,Library,Central Library Services,44CENTRAL,Number of People Attending Central Library Programs,2020-21 Proposed
Library,44LVL5,Library,Engagement and Learning Services,44CENTRAL,Number of People Attending Central Library Programs,2020-21 Proposed
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council System Development,47SUPPORT,Percentage of Staffed Neighborhood Council Meetings,2020-21 Proposed
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Planning and Policy,47CIS,Number of Community Impact Statements Submitted by NCs,2020-21 Proposed
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council Administrative Support,47ELCAN,Number of Candidates for Neighborhood Council Elections,2020-21 Proposed
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council Administrative Support,47ELVOT,Number of Voters for Neighborhood Council Elections,2020-21 Proposed
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Office of Community Engagement and Innovation,47CIVICUNIVERSITY,Number of Civic University Sessions directed to NC Board,2020-21 Proposed
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2020-21 Proposed
Disability,65LVL5,Disability,ADA Compliance,65SLICART,Percentage of SLI and CART Requests Filled,2020-21 Proposed
Disability,65LVL5,Disability,Community Affairs and Outreach,65OUTREACH,Percentage of Resource Center Inquiries Filled,2020-21 Proposed
Disability,65LVL5,Disability,AIDS Coordinator's Office,65SYRINGE,Number of Syringes Removed,2020-21 Proposed
Personnel,66LVL5,Personnel,Public Safety Employment,66POLICEHIRE,Number of Police Officers Hired Pursuant to LAPD Hiring Plan,2020-21 Proposed
Personnel,66LVL5,Personnel,Employee Selection,66EXAM,Percent of Exams Completed in 150 Days,2020-21 Proposed
Personnel,66LVL5,Personnel,Workers' Compensation and Safety,66WCCOST,Amount of Monthly Workers' Compensation Costs Avoided,2020-21 Proposed
Personnel,66LVL5,Personnel,Employee Benefits,66VANPOOL,Percent Increase in Vanpool Participants,2020-21 Proposed
Personnel,66LVL5,Personnel,Occupational Health,66CLINIC,Wait Time at Clinic for Exam,2020-21 Proposed
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2020-21 Proposed
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2020-21 Proposed
Personnel,66LVL5,Personnel,Employee Training and Development,66ONLINE,Number of Non-Mandated Courses Completed Online,2020-21 Proposed
Personnel,66LVL5,Personnel,Liaison Services,66HIRELENGTH,Number of Days from Start of Hiring Process to Job Offer,2020-21 Proposed
City Planning,68LVL5,City Planning,Citywide Planning,68ELEMENT,Number of State Mandated Elements Less Than Eight Years Old,2020-21 Proposed
City Planning,68LVL5,City Planning,Community Planning,68COMMUNITYPLANS,Number of Community Plans Less Than Ten Years Old,2020-21 Proposed
City Planning,68LVL5,City Planning,Historic Resources,68CERTIFICATE,Percent of Certificate Cases Completed within 75 Days,2020-21 Proposed
City Planning,68LVL5,City Planning,Development Services,68CUSTOMER,Annual Number of Customers Served,2020-21 Proposed
City Planning,68LVL5,City Planning,Neighborhood Initiatives and Transit Oriented Planning,68TRANSIT,Percent of Phase 2 Transit Neighborhood Plans Completed,2020-21 Proposed
City Planning,68LVL5,City Planning,Geographic Project Planning,68CASES,Annual Number of Cases Completed,2020-21 Proposed
City Planning,68LVL5,City Planning,Major Projects and Project Plan Support,68EIRS,Entitlement Cases Requiring an Environmental Impact Report,2020-21 Proposed
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2020-21 Proposed
Police,70LVL5,Police,Specialized Investigation,70GANG,Number of Gang-Related Homicides,2020-21 Proposed
Police,70LVL5,Police,Custody of Persons and Property,70BOOKING,Average Processing Time for Non-Medical Bookings,2020-21 Proposed
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2020-21 Proposed
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2020-21 Proposed
Police,70LVL5,Police,Personnel Training and Support,70WORKERCOMP,Number of Workers' Compensation Claims,2020-21 Proposed
Police,70LVL5,Police,Internal Integrity and Standards Enforcement,70INTERNAL,Internal Affairs Investigations Closed within Five Months,2020-21 Proposed
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI,Percent of Graffiti Removal Requests Completed in 48 Hours,2020-21 Proposed
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI-24HRS,Percent of Graffiti Removal Requests Completed in 24 Hours,2020-21 Proposed
Board of Public Works,74LVL5,Board of Public Works,Public Works Accounting,74PAYMENTS,Percentage of All Payments Processed within 30 Days,2020-21 Proposed
Board of Public Works,74LVL5,Board of Public Works,Public Works Board and Board Secretariat,74JOURNALS,Percent of Board Meeting Journals Posted within 24 Hours,2020-21 Proposed
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2020-21 Proposed
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Contract Compliance,76LOCALHIRE,Percent of Hours Worked by Local Hires at PLA Projects,2020-21 Proposed
Bureau of Engineering,78LVL5,Bureau of Engineering,Clean Water Infrastructure,78WATER,Number of Completed Clean Water Capital Projects,2020-21 Proposed
Bureau of Engineering,78LVL5,Bureau of Engineering,Development Services and Permits,78APERMIT,Percent of A Permits Issued within 60 Minutes,2020-21 Proposed
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2020-21 Proposed
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2020-21 Proposed
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Watershed Protection,82CATCHBASIN,Number of Catch Basins Cleaned,2020-21 Proposed
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Clean Water,82SEWER,Sewer Miles Cleaned,2020-21 Proposed
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Solid Resources,82BULKYITEM,Citywide Bulky Item Pick-up Rate,2020-21 Proposed
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Environmental Quality,82CLOSEOUT,Average Number of Days to Close Out a Service Request,2020-21 Proposed
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Design and Construction,84LEDPERCENT,Percentage of Streetlights Converted to LED,2020-21 Proposed
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,"System Operation, Maintenance, and Repair",84OUTAGE,Single Streetlight Outage Response Time,2020-21 Proposed
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2020-21 Proposed
Bureau of Street Services,86LVL5,Bureau of Street Services,Investigation and Enforcement,86INSPECTION,Average Number of Days to Inspect Obstruction Requests,2020-21 Proposed
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Sweeping,86SWEEPING,Percent of Posted Street Sweeping Routes Completed,2020-21 Proposed
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Tree and Parkway Maintenance,86TREELIMB,Average Working Days to Complete Tree Emergencies,2020-21 Proposed
Bureau of Street Services,86LVL5,Bureau of Street Services,Maintaining Streets,86POTHOLE,Average Number of Working Days to Repair Potholes,2020-21 Proposed
Bureau of Street Services,86LVL5,Bureau of Street Services,Pavement Preservation,86GOODREPAIR,Percent of Street Network in Good Repair,2020-21 Proposed
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Construction,86NEWSIDEWALK,Square Feet of New Sidewalk Constructed,2020-21 Proposed
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Engineering,86METRO,Percent of Metro Plan Design Reviews Completed in 20 Days,2020-21 Proposed
Zoo,87LVL5,Zoo,Animal General Care,87EXHIBIT,Percent of Animal Exhibits in Operation,2020-21 Proposed
Zoo,87LVL5,Zoo,Animal Health Care,87HEALTH,Number of Animal Preventative Health Exams Conducted,2020-21 Proposed
Zoo,87LVL5,Zoo,Admissions,87ONLINE,Percent of Ticket Sale Transactions Conducted Online,2020-21 Proposed
Zoo,87LVL5,Zoo,Grounds Maintenance,87BRUSHORDER,Number of Brush Clearance Work Orders Completed,2020-21 Proposed
Zoo,87LVL5,Zoo,Custodial Services,87CLEAN,"Percent of ""Excellent"" Rating For Facility Cleanliness",2020-21 Proposed
Zoo,87LVL5,Zoo,Public Relations and Marketing,87FILM,Number of Commercial Film Shoots at the Zoo,2020-21 Proposed
Zoo,87LVL5,Zoo,Learning and Engagement,87ENGAGE,"Percent of ""Excellent"" Rating for Visitor Engagement",2020-21 Proposed
Zoo,87LVL5,Zoo,"Planning, Development and Construction",87CONSTRUCTION,Number of Construction Work Orders Completed,2020-21 Proposed
Zoo,87LVL5,Zoo,Conservation,87CONSERVATION,Number of International Conservation Programs Supported,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Museums and Educational,88MUSEUM,Number of Annual Museum Visitors,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Griffith Observatory,88GRIFFITH,Number of Griffith Observatory Visitors,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Aquatics,88AQUATIC,Total Recreational Swim Attendance,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Building and Facilities Maintenance,88JOBORDER,Maintenance Job Orders Completed,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Land Maintenance,88PARKSMAINTAINED,Number of Parks Maintained,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Capital Projects and Planning,88WALKABLEPARK,Additional Residents Served by Park within Walking Distance,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Expo Center,88EXPO,Number of EXPO Center Visitors,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,"Partnerships, Grants, and Sponsorships",88PARTICIPANTS,Number of Participants from Collaborations,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Recreational Programming,88SPORTS,Number of Youth and Adult Sports Program Registrations,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Venice Beach,88VENICE,Number of Annual Visitors,2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,Public Safety,88SAFE,Percent of Visitors Feeling 'Safe' or 'Very Safe',2020-21 Proposed
Recreation and Parks,88LVL5,Recreation and Parks,City Services,88SNLPARTICIPANTS,Number of Summer Night Lights Participants,2020-21 Proposed
Transportation,94LVL5,Transportation,Sustainable Transportation,94BIKETRIPS,Number of Bike Trips Per Year,2020-21 Proposed
Transportation,94LVL5,Transportation,Transportation Planning and Land Use,94STUDIES,Percent of Traffic Studies Processed within 90 Business Days,2020-21 Proposed
Transportation,94LVL5,Transportation,Transportation Infrastructure and Project Delivery,94VALUE,Total Value of Active Projects,2020-21 Proposed
Transportation,94LVL5,Transportation,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,2020-21 Proposed
Transportation,94LVL5,Transportation,Parking Citation Processing Services,94INITIALREVIEW,Initial Parking Citation Review Rate within 240-Days,2020-21 Proposed
Transportation,94LVL5,Transportation,Streets and Sign Management,94SIGN,Number of Sign Maintenance & Installation Projects Completed,2020-21 Proposed
Transportation,94LVL5,Transportation,District Offices,94SERVICE,Number of Service Requests Closed,2020-21 Proposed
Transportation,94LVL5,Transportation,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,2020-21 Proposed
Transportation,94LVL5,Transportation,Public Transit Services,94TRANSIT,Percent of LADOT Transit On-Time Arrivals,2020-21 Proposed
Transportation,94LVL5,Transportation,Major Project Coordination,94METRO,Percent of Metro Plans Reviewed within 20 Business Days,2020-21 Proposed
Transportation,94LVL5,Transportation,Emergency Management and Special Events,94EVENTS,Number of Special Events Requiring Traffic Engineering,2020-21 Proposed
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2020-21 Proposed
Transportation,94LVL5,Transportation,Crossing Guard Services,94GUARDS,Number of Guards Assigned,2020-21 Proposed
Aging,02LVL5,Aging,Senior Services,02MEALS,Number of Home Delivered and Congregate Meals Provided,2021-22 Adopted
Aging,02LVL5,Aging,Family Caregiver Services,02CONTACTS,Number of Contacts Regarding Caregiver Needs,2021-22 Adopted
Aging,02LVL5,Aging,Family Caregiver Services,02FAMILYCLIENTS,Number of Clients in the Family Caregiver Program,2021-22 Adopted
Aging,02LVL5,Aging,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,2021-22 Adopted
Animal Services,06LVL5,Animal Services,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Issued,2021-22 Adopted
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2021-22 Adopted
Animal Services,06LVL5,Animal Services,Animal Medical Services,06MEDICALLYTREATED,Number of Animals Medically Treated In-House,2021-22 Adopted
Animal Services,06LVL5,Animal Services,Community Engagement and Partnerships,06VOLUNTEER,Number of Volunteer Hours,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT20,Percent of New Grading Reports Completed in 20 Days,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Commercial Inspection and Licensing,08COMMINSPECT,Commercial Building Inspections Completed in 24 Hours,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Development Services Case Management,08CASEMGMT,Percent of Case Management Projects Contacted in 5 Days,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Residential and Commercial Code Enforcement,08COMPLAINT,Percent of Code Enforcement Complaints Closed in 60 Days,2021-22 Adopted
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2021-22 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Budget Formulation and Control,10RF%GF,Reserve Fund as a Percent of the Adopted General Fund Budget,2021-22 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Management Services,10IFAPPS,Percent of Submitted Innovation Fund Applications Reviewed,2021-22 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Employee Relations Compensation and Benefits,10PAYGRADE,Average Length of Time to Review Pay Grade Advancements,2021-22 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Risk Management,10INSDOCSSUBMIT,Percent of Contractors Self-Submitting Ins Docs - KwikComply,2021-22 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Debt Management,10DEBTPERCENT,Approved Debt as a Percent of Special Taxes and GF Revenues,2021-22 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Asset Management and Capital Projects,10GF%CIP,Percent of GF Budget Appropriated for Capital Improvements,2021-22 Adopted
City Administrative Officer,10LVL5,City Administrative Officer,Proprietary Analysis,10CONREVTIME,Average Length of Time to Complete Contract Review,2021-22 Adopted
Cannabis Regulation,13LVL5,Cannabis Regulation,Regulations and Licensing,13CANNABISLICENSES,Number of Cannabis Businesses Licensed,2021-22 Adopted
City Clerk,14LVL5,City Clerk,Council and Public Services,14CITYRECORDS,Number of City Records Viewed,2021-22 Adopted
City Clerk,14LVL5,City Clerk,Administration of City Elections,14VOTEROUTREACH,Number of Outreach Events Held to Increase Voter Awareness,2021-22 Adopted
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2021-22 Adopted
City Clerk,14LVL5,City Clerk,Special Assessments,14ANNUALPLAN,Number of Annual Planning Reports Submitted by March 1,2021-22 Adopted
City Clerk,14LVL5,City Clerk,Mayor and City Council Administrative Support,14ACCOUNTING,Number of Accounting Documents Processed,2021-22 Adopted
Ethics Commission,17LVL5,City Ethics Commission,Governmental Ethics,17DISCLOSURE,Percent of Lobbying Disclosure Statements Filed on Time,2021-22 Adopted
Community Investment for Families,21LVL5,Community Investment for Families,Community Investment,21DVVICTIM,Number of Domestic Violence Victims Served,2021-22 Adopted
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Adult Workforce Development,22ADULTJOBS,Number of WIOA-Funded Adults Placed in Jobs,2021-22 Adopted
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Economic Development,22NEWJOBS,Number of New Jobs Created Through Business Source Centers,2021-22 Adopted
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Youth Workforce Development,22HIRELA,Number of HireLA's Youth Placed in Employment,2021-22 Adopted
Controller,26LVL5,Controller,Accounting and Disbursement of City Funds,26DISBURSEMENTS,Paymaster Disbursements,2021-22 Adopted
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2021-22 Adopted
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITREPORTS,Number of Audit Reports,2021-22 Adopted
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FMSDOCUMENTS,Number of FMS Documents Processed Annually,2021-22 Adopted
Controller,26LVL5,Controller,Citywide Payroll Administration,26PAYSUPP,Percent of PaySR Problem Tickets Resolved,2021-22 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Community Arts,30ARTFACILITIES,Number of Individuals Served by Arts Facilities and Centers,2021-22 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2021-22 Adopted
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2021-22 Adopted
